;DESCRIPTION: Contra Costa Water District Ops Timeseries,,,,,,,,,
";SOURCE: CalSimII LVE EIS Existing baseline (as of Feb 2017), 2004-2015 is a repeat of a similar WY sequence, 1956-64 followed by 1987-89.",,,,,,,,,
;COLUMN HEADINGS,,,,,,,,,
";UNITS: LV Storage in TAF. LV fill, LV release, Old River intake pumping, Rock Slough intake pumping, Victoria Canal pumping, and Mokelumne Intertie flow all in CFS.",,,,,,,,,
;DOCUMENTATION: See the Contra Costa Water District sub-section of the Ops section of the Other Assumptions chapter,,,,,,,,,
;year,month,LV storage,LV fill,LV release,Old River intake pumping,Rock Slough intake pumping,Victoria Canal pumping,Mokelumne Intertie flow,Mallard Slough
1949,2,111.1,0,32.4,0,62.8,0,0,0
1949,3,104.5,0,102.7,0,0,0,0,0
1949,4,101.5,0,40.1,0,110.5,0,0,0
1949,5,100.6,0,0,0,182.9,0,0,0
1949,6,99.6,0,0,0,214.2,0,0,0
1949,7,109.1,174.3,0,0,239.6,174.3,0,0
1949,8,107.9,0,0,0,13.8,218.9,0,0
1949,9,102.4,0,77,0,0,133.7,0,0
1949,10,96.7,0,84.6,0,0,95,0,0
1949,11,95,0,24.4,0,0,120.9,0,0
1949,12,91.2,0,61.6,0,0,65.7,0,0
1950,1,85.1,0,99.4,0,0,23.9,0,0
1950,2,85.1,0,0,0,121.1,0,0,0
1950,3,79.4,0,88.9,0,0,0,0,0
1950,4,78.9,0,0,0,129.2,0,0,0
1950,5,78.2,0,0,0,157.9,0,0,0
1950,6,77.2,0,0,0,207.8,0,0,0
1950,7,88.1,193.8,0,0,231.8,193.8,0,0
1950,8,98.2,181.9,0,12,154.1,250,0,0
1950,9,97.4,0,0,0,7.7,198.3,0,0
1950,10,92.7,0,66.7,0,0,110.9,0,0
1950,11,92.6,0,0,0,41.8,90.3,0,0
1950,12,103.6,178.8,0,178.8,117,0,0,0
1951,1,103.7,0,0,0,100.4,0,0,0
1951,2,103.6,0,0,0,95.2,0,0,0
1951,3,98.4,0,80.6,0,0,0,0,0
1951,4,108.4,175,0,175,117.1,0,0,0
1951,5,118.2,174,0,0,143.1,174,0,0
1951,6,117.1,0,0,0,207.2,0,0,0
1951,7,126.5,174,0,0,228.3,174,0,0
1951,8,135.9,174,0,0,236.3,174,0,0
1951,9,145.3,174,0,34.7,98,250,0,0
1951,10,155.3,174,0,174,178.8,0,0,0
1951,11,160,80.3,0,80.3,126.5,0,0,0
1951,12,160,0,3.8,0,111.7,0,0,0
1952,1,160,0,0.7,0,90.9,0,0,0
1952,2,160,0,0,0,82.6,0,0,0
1952,3,155.1,0,79.8,0,0,0,0,0
1952,4,160,91.1,0,91.1,106.2,0,0,0
1952,5,160,16.4,0,0,144.3,16.4,0,0
1952,6,158.8,0,0,0,191.6,0,0,0
1952,7,160,44.9,0,44.9,225.8,0,0,0
1952,8,160,22.8,0,22.8,234.5,0,0,0
1952,9,160,18.5,0,0,203.7,18.5,0,0
1952,10,160,8,0,8,173.2,0,0,0
1952,11,160,2,0,2,116.3,0,0,0
1952,12,160,0,6.7,0,76.5,0,0,0
1953,1,160,0,2.5,0,76,0,0,0
1953,2,160,0,1.5,0,88.8,0,0,0
1953,3,155.1,0,79.8,0,0,0,0,0
1953,4,160,91.1,0,91.1,106.2,0,0,0
1953,5,159,0,0,0,144.3,0,0,0
1953,6,157.8,0,0,0,191.6,0,0,0
1953,7,160,61.1,0,61.1,225.8,0,0,0
1953,8,160,22.8,0,0,234.5,22.8,0,0
1953,9,158.8,0,2.4,0,0,201.3,0,0
1953,10,160,28.2,0,28.2,173.2,0,0,0
1953,11,160,2,0,2,116.3,0,0,0
1953,12,160,0,6.7,0,76.5,0,0,0
1954,1,160,0,2.5,0,76,0,0,0
1954,2,160,0,1.5,0,88.8,0,0,0
1954,3,154.7,0,80.6,0,0,0,0,0
1954,4,160,98.2,0,98.2,117.1,0,0,0
1954,5,159,0,0,0,143.1,0,0,0
1954,6,157.7,0,0,0,207.2,0,0,0
1954,7,160,62.7,0,62.7,228.3,0,0,0
1954,8,160,22.7,0,0,236.3,22.7,0,0
1954,9,160,18.6,0,0,208.7,18.6,0,0
1954,10,160,10.6,0,10.6,178.8,0,0,0
1954,11,160,2,0,2,126.5,0,0,0
1954,12,160,0,3.8,0,111.7,0,0,0
1955,1,160,0,0.7,0,90.9,0,0,0
1955,2,160,0,0,0,85.5,0,0,0
1955,3,153.3,0,102.7,0,0,0,0,0
1955,4,152.6,0,0,0,150.6,0,0,0
1955,5,151.5,0,0,0,182.9,0,0,0
1955,6,150.2,0,0,0,214.2,0,0,0
1955,7,159.5,174,0,0,239.6,174,0,0
1955,8,158.1,0,0,0,3.7,229,0,0
1955,9,155.5,0,24.4,0,0,186.4,0,0
1955,10,151.8,0,49.1,0,0,130.5,0,0
1955,11,151.3,0,4.5,0,0,140.8,0,0
