Year,Month,DATE / TIME (PDT),STORAGE AF,
1978,11,11/1/1978,26120,
1978,12,12/1/1978,18310,
1979,1,1/1/1979,18600,
1979,2,2/1/1979,9460,
1979,3,3/1/1979,5470,
1979,4,4/1/1979,23410,
1979,5,5/1/1979,121500,
1979,6,6/1/1979,119300,
1979,7,7/1/1979,103400,
1979,8,8/1/1979,56390,
1979,9,9/1/1979,35980,
1979,10,10/1/1979,28580,
1979,11,11/1/1979,39630,
1979,12,12/1/1979,36500,
1980,1,1/1/1980,101400,
1980,2,2/1/1980,121100,
1980,3,3/1/1980,97500,
1980,4,4/1/1980,122000,
1980,5,5/1/1980,121200,
1980,6,6/1/1980,123300,
1980,7,7/1/1980,120600,
1980,8,8/1/1980,76410,
1980,9,9/1/1980,49840,
1980,10,10/1/1980,36120,
1980,11,11/1/1980,34540,
1980,12,12/1/1980,32020,
1981,1,1/1/1981,29250,
1981,2,2/1/1981,7920,
1981,3,3/1/1981,5160,
1981,4,4/1/1981,27080,
1981,5,5/1/1981,85970,
1981,6,6/1/1981,109200,
1981,7,7/1/1981,83900,
1981,8,8/1/1981,62130,
1981,9,9/1/1981,41000,
1981,10,10/1/1981,35640,
1981,11,11/1/1981,55040,
1981,12,12/1/1981,19890,
1982,1,1/1/1982,2980,
1982,2,2/1/1982,41870,
1982,3,3/1/1982,26080,
1982,4,4/1/1982,122800,
1982,5,5/1/1982,122500,
1982,6,6/1/1982,122100,
1982,7,7/1/1982,120800,
1982,8,8/1/1982,70640,
1982,9,9/1/1982,73280,
1982,10,10/1/1982,110900,
1982,11,11/1/1982,112000,
1982,12,12/1/1982,114500,
1983,1,1/1/1983,100300,
1983,2,2/1/1983,49510,
1983,3,3/1/1983,64800,
1983,4,4/1/1983,72100,
1983,5,5/1/1983,125400,
1983,6,6/1/1983,124300,
1983,7,7/1/1983,122120,
1983,8,8/1/1983,114600,
1983,9,9/1/1983,42590,
1983,10,10/1/1983,35170,
1983,11,11/1/1983,57880,
1983,12,12/1/1983,90650,
1984,1,1/1/1984,41680,
1984,2,2/1/1984,19660,
1984,3,3/1/1984,45220,
1984,4,4/1/1984,6800,
1984,5,5/1/1984,121380,
1984,6,6/1/1984,112200,
1984,7,7/1/1984,102700,
1984,8,8/1/1984,64480,
1984,9,9/1/1984,46350,
1984,10,10/1/1984,49910,
1984,11,11/1/1984,33520,
1984,12,12/1/1984,31400,
1985,1,1/1/1985,15750,
1985,2,2/1/1985,11990,
1985,3,3/1/1985,6440,
1985,4,4/1/1985,16800,
1985,5,5/1/1985,75430,
1985,6,6/1/1985,97390,
1985,7,7/1/1985,94180,
1985,8,8/1/1985,83090,
1985,9,9/1/1985,53980,
1985,10,10/1/1985,47090,
1985,11,11/1/1985,35420,
1985,12,12/1/1985,30030,
1986,1,1/1/1986,36390,
1986,2,2/1/1986,121400,
1986,3,3/1/1986,121600,
1986,4,4/1/1986,121800,
1986,5,5/1/1986,123700,
1986,6,6/1/1986,121140,
1986,7,7/1/1986,94110,
1986,8,8/1/1986,71840,
1986,9,9/1/1986,60250,
1986,10,10/1/1986,43100,
1986,11,11/1/1986,31450,
1986,12,12/1/1986,30640,
1987,1,1/1/1987,32070,
1987,2,2/1/1987,30950,
1987,3,3/1/1987,29290,
1987,4,4/1/1987,64510,
1987,5,5/1/1987,88850,
1987,6,6/1/1987,85060,
1987,7,7/1/1987,58691,
1987,8,8/1/1987,27904,
1987,9,9/1/1987,20640,
1987,10,10/1/1987,16640,
1987,11,11/1/1987,18480,
1987,12,12/1/1987,22800,
1988,1,1/1/1988,24890,
1988,2,2/1/1988,20210,
1988,3,3/1/1988,10443,
1988,4,4/1/1988,40600,
1988,5,5/1/1988,93480,
1988,6,6/1/1988,93490,
1988,7,7/1/1988,71570,
1988,8,8/1/1988,50990,
1988,9,9/1/1988,35900,
1988,10,10/1/1988,28011,
1988,11,11/1/1988,23957,
1988,12,12/1/1988,24034,
1989,1,1/1/1989,22359,
1989,2,2/1/1989,19700,
1989,3,3/1/1989,25070,
1989,4,4/1/1989,63217,
1989,5,5/1/1989,103029,
1989,6,6/1/1989,97082,
1989,7,7/1/1989,68735,
1989,8,8/1/1989,24148,
1989,9,9/1/1989,25317,
1989,10,10/1/1989,24330,
1989,11,11/1/1989,25170,
1989,12,12/1/1989,28258,
1990,1,1/1/1990,26683,
1990,2,2/1/1990,27167,
1990,3,3/1/1990,22607,
1990,4,4/1/1990,54134,
1990,5,5/1/1990,65038,
1990,6,6/1/1990,99105,
1990,7,7/1/1990,63015,
1990,8,8/1/1990,42958,
1990,9,9/1/1990,23654,
1990,10,10/1/1990,21720,
1990,11,11/1/1990,19880,
1990,12,12/1/1990,14334,
1991,1,1/1/1991,15800,
1991,2,2/1/1991,19100,
1991,3,3/1/1991,20230,
1991,4,4/1/1991,23232,
1991,5,5/1/1991,80089,
1991,6,6/1/1991,112854,
1991,7,7/1/1991,80098,
1991,8,8/1/1991,46510,
1991,9,9/1/1991,22161,
1991,10,10/1/1991,7732,
1991,11,11/1/1991,19207,
1991,12,12/1/1991,27705,
1992,1,1/1/1992,22771,
1992,2,2/1/1992,20709,
1992,3,3/1/1992,8376,
1992,4,4/1/1992,53034,
1992,5,5/1/1992,87849,
1992,6,6/1/1992,90126,
1992,7,7/1/1992,55298,
1992,8,8/1/1992,19097,
1992,9,9/1/1992,1949,
1992,10,10/1/1992,8358,
1992,11,11/1/1992,16857,
1992,12,12/1/1992,28500,
1993,1,1/1/1993,32852,
1993,2,2/1/1993,6495,
1993,3,3/1/1993,19069,
1993,4,4/1/1993,65783,
1993,5,5/1/1993,123021,
1993,6,6/1/1993,121570,
1993,7,7/1/1993,115474,
1993,8,8/1/1993,105388,
1993,9,9/1/1993,69826,
1993,10,10/1/1993,17251,
1993,11,11/1/1993,9617,
1993,12,12/1/1993,11852,
1994,1,1/1/1994,14554,
1994,2,2/1/1994,17407,
1994,3,3/1/1994,14142,
1994,4,4/1/1994,36037,
1994,5,5/1/1994,95201,
1994,6,6/1/1994,85945,
1994,7,7/1/1994,47170,
1994,8,8/1/1994,11731,
1994,9,9/1/1994,9227,
1994,10,10/1/1994,14413,
1994,11,11/1/1994,35174,
1994,12,12/1/1994,43397,
1995,1,1/1/1995,65438,
1995,2,2/1/1995,54499,
1995,3,3/1/1995,119765,
1995,4,4/1/1995,124695,
1995,5,5/1/1995,123783,
1995,6,6/1/1995,124999,
1995,7,7/1/1995,122093,
1995,8,8/1/1995,104684,
1995,9,9/1/1995,91668,
1995,10,10/1/1995,66370,
1995,11,11/1/1995,44575,
1995,12,12/1/1995,36524,
1996,1,1/1/1996,43812,
1996,2,2/1/1996,80920,
1996,3,3/1/1996,38179,
1996,4,4/1/1996,79755,
1996,5,5/1/1996,121136,
1996,6,6/1/1996,116815,
1996,7,7/1/1996,99398,
1996,8,8/1/1996,56883,
1996,9,9/1/1996,20247,
1996,10,10/1/1996,13107,
1996,11,11/1/1996,35870,
1996,12,12/1/1996,35951,
1997,1,1/1/1997,78550,
1997,2,2/1/1997,93921,
1997,3,3/1/1997,86000,
1997,4,4/1/1997,121748,
1997,5,5/1/1997,122909,
1997,6,6/1/1997,117500,
1997,7,7/1/1997,107898,
1997,8,8/1/1997,80160,
1997,9,9/1/1997,44215,
1997,10,10/1/1997,27146,
1997,11,11/1/1997,16056,
1997,12,12/1/1997,10569,
1998,1,1/1/1998,14827,
1998,2,2/1/1998,16650,
1998,3,3/1/1998,19124,
1998,4,4/1/1998,46275,
1998,5,5/1/1998,121871,
1998,6,6/1/1998,124075,
1998,7,7/1/1998,120726,
1998,8,8/1/1998,102759,
1998,9,9/1/1998,61070,
1998,10,10/1/1998,59081,
1998,11,11/1/1998,55457,
1998,12,12/1/1998,31039,
1999,1,1/1/1999,30841,
1999,2,2/1/1999,29742,
1999,3,3/1/1999,12326,
1999,4,4/1/1999,23504,
1999,5,5/1/1999,120947,
1999,6,6/1/1999,116591,
1999,7,7/1/1999,111428,
1999,8,8/1/1999,67951,
1999,9,9/1/1999,26289,
1999,10,10/1/1999,13175,r
1999,11,11/1/1999,20210,
1999,12,12/1/1999,13998,
2000,1,1/1/2000,31093,r
2000,2,2/1/2000,52463,
2000,3,3/1/2000,14765,r
2000,4,4/1/2000,51719,r
2000,5,5/1/2000,121526,r
2000,6,6/1/2000,118383,r
2000,7,7/1/2000,83779,
2000,8,8/1/2000,46934,
2000,9,9/1/2000,25946,
2000,10,10/1/2000,20190,r
2000,11,11/1/2000,21764,r
2000,12,12/1/2000,16684,r
2001,1,1/1/2001,17138,r
2001,2,2/1/2001,19740,
2001,3,3/1/2001,32384,r
2001,4,4/1/2001,34560,r
2001,5,5/1/2001,119623,r
2001,6,6/1/2001,103741,r
2001,7,7/1/2001,88808,
2001,8,8/1/2001,47170,r
2001,9,9/1/2001,27106,
2001,10,10/1/2001,16315,r
2001,11,11/1/2001,18666,r
2001,12,12/1/2001,33231,r
2002,1,1/1/2002,22394,r
2002,2,2/1/2002,20501,r
2002,3,3/1/2002,14211,r
2002,4,4/1/2002,39828,r
2002,5,5/1/2002,101077,r
2002,6,6/1/2002,105883,r
2002,7,7/1/2002,95334,r
2002,8,8/1/2002,63624,
2002,9,9/1/2002,38334,r
2002,10,10/1/2002,19727,r
2002,11,11/1/2002,31714,
2002,12,12/1/2002,23359,r
2003,1,1/1/2003,15261,r
2003,2,2/1/2003,17356,r
2003,3,3/1/2003,37320,r
2003,4,4/1/2003,30297,r
2003,5,5/1/2003,122724,r
2003,6,6/1/2003,111552,r
2003,7,7/1/2003,79860,r
2003,8,8/1/2003,44405,
2003,9,9/1/2003,34690,r
2003,10,10/1/2003,22220,
2003,11,11/1/2003,15733,
2003,12,12/1/2003,27573,
2004,1,1/1/2004,19656,r
2004,2,2/1/2004,20734,
2004,3,3/1/2004,51922,r
2004,4,4/1/2004,65534,r
2004,5,5/1/2004,114818,r
2004,6,6/1/2004,106999,r
2004,7,7/1/2004,73914,r
2004,8,8/1/2004,42731,r
2004,9,9/1/2004,27960,
2004,10,10/1/2004,35841,
2004,11,11/1/2004,22896,
2004,12,12/1/2004,24821,
2005,1,1/1/2005,72689,
2005,2,2/1/2005,38065,r
2005,3,3/1/2005,40444,
2005,4,4/1/2005,82107,
2005,5,5/1/2005,123874,r
2005,6,6/1/2005,122400,
2005,7,7/1/2005,109709,r
2005,8,8/1/2005,53119,
2005,9,9/1/2005,17959,
2005,10,10/1/2005,7600,
2005,11,11/1/2005,18159,
2005,12,12/1/2005,65014,r
2006,1,1/1/2006,71784,
2006,2,2/1/2006,49927,r
2006,3,3/1/2006,38262,
2006,4,4/1/2006,123272,
2006,5,5/1/2006,122836,
2006,6,6/1/2006,122635,
2006,7,7/1/2006,117382,
2006,8,8/1/2006,93065,
2006,9,9/1/2006,70810,
2006,10,10/1/2006,31459,
2006,11,11/1/2006,21975,
2006,12,12/1/2006,26137,
2007,1,1/1/2007,32946,
2007,2,2/1/2007,47556,
2007,3,3/1/2007,77703,
2007,4,4/1/2007,89735,r
2007,5,5/1/2007,91668,r
2007,6,6/1/2007,65406,
2007,7,7/1/2007,34776,
2007,8,8/1/2007,10435,
2007,9,9/1/2007,14328,
2007,10,10/1/2007,19160,
2007,11,11/1/2007,22589,
2007,12,12/1/2007,23912,
2008,1,1/1/2008,39712,
2008,2,2/1/2008,30411,
2008,3,3/1/2008,36914,
2008,4,4/1/2008,119318,r
2008,5,5/1/2008,120792,
2008,6,6/1/2008,119765,
2008,7,7/1/2008,76105,
2008,8,8/1/2008,17171,
2008,9,9/1/2008,13095,
2008,10,10/1/2008,17783,
2008,11,11/1/2008,25599,r
2008,12,12/1/2008,34259,
2009,1,1/1/2009,56060,
2009,2,2/1/2009,53140,
2009,3,3/1/2009,79221,
2009,4,4/1/2009,121236,
2009,5,5/1/2009,121147,
2009,6,6/1/2009,113412,
2009,7,7/1/2009,85400,
2009,8,8/1/2009,51251,
2009,9,9/1/2009,18164,
2009,10,10/1/2009,33768,
2009,11,11/1/2009,45493,
2009,12,12/1/2009,47367,
2010,1,1/1/2010,61764,
2010,2,2/1/2010,63820,
2010,3,3/1/2010,25132,
2010,4,4/1/2010,43314,
2010,5,5/1/2010,121370,
2010,6,6/1/2010,122529,
2010,7,7/1/2010,115453,
2010,8,8/1/2010,71458,
2010,9,9/1/2010,38424,
2010,10,10/1/2010,43314,
2010,11,11/1/2010,34751,
2010,12,12/1/2010,88752,
2011,1,1/1/2011,82071,
2011,2,2/1/2011,80547,
2011,3,3/1/2011,63162,
2011,4,4/1/2011,119973,
2011,5,5/1/2011,121592,
2011,6,6/1/2011,123345,
2011,7,7/1/2011,121058,
2011,8,8/1/2011,84901,
2011,9,9/1/2011,61428,
2011,10,10/1/2011,78637,
2011,11,11/1/2011,69464,
2011,12,12/1/2011,46184,
2012,1,1/1/2012,56750,
2012,2,2/1/2012,57386,
2012,3,3/1/2012,77806,
2012,4,4/1/2012,121826,
2012,5,5/1/2012,108389,
2012,6,6/1/2012,57757,
2012,7,7/1/2012,36917,
2012,8,8/1/2012,13234,
2012,9,9/1/2012,7602,r
2012,10,10/1/2012,13104,
2012,11,11/1/2012,20847,
2012,12,12/1/2012,32137,
2013,1,1/1/2013,41959,
2013,2,2/1/2013,42605,
2013,3,3/1/2013,84231,
2013,4,4/1/2013,119077,
2013,5,5/1/2013,115835,
2013,6,6/1/2013,99773,
2013,7,7/1/2013,50480,
2013,8,8/1/2013,9382,
2013,9,9/1/2013,5378,
2013,10,10/1/2013,10682,
2013,11,11/1/2013,15713,
2013,12,12/1/2013,15709,
2014,1,1/1/2014,15396,
2014,2,2/1/2014,27439,r
2014,3,3/1/2014,54520,
2014,4,4/1/2014,57765,
2014,5,5/1/2014,33272,
2014,6,6/1/2014,14290,
2014,7,7/1/2014,15143,
2014,8,8/1/2014,8046,
2014,9,9/1/2014,9870,r
2014,10,10/1/2014,11354,
2014,11,11/1/2014,14484,
2014,12,12/1/2014,20627,
2015,1,1/1/2015,19061,
2015,2,2/1/2015,33386,
2015,3,3/1/2015,38371,
2015,4,4/1/2015,60643,
2015,5,5/1/2015,98356,
2015,6,6/1/2015,98653,
2015,7,7/1/2015,62616,
2015,8,8/1/2015,30068,r
2015,9,9/1/2015,9290,r
2015,10,10/1/2015,16661,
2015,11,11/1/2015,22412,
2015,12,12/1/2015,16945,
2016,1,1/1/2016,29878,
2016,2,2/1/2016,35746,
2016,3,3/1/2016,42818,
2016,4,4/1/2016,76210,
2016,5,5/1/2016,112795,
2016,6,6/1/2016,108629,
2016,7,7/1/2016,84875,
2016,8,8/1/2016,55951,
2016,9,9/1/2016,32199,
2016,10,10/1/2016,78390,
2016,11,11/1/2016,35774,
2016,12,12/1/2016,52344,
2017,1,1/1/2017,113384,
2017,2,2/1/2017,120501,
2017,3,3/1/2017,120206,
2017,4,4/1/2017,122339,
2017,5,5/1/2017,124115,
2017,6,6/1/2017,123237,
2017,7,7/1/2017,120300,
2017,8,8/1/2017,95233,
2017,9,9/1/2017,31329,
2017,10,10/1/2017,8341,
2017,11,11/1/2017,9166,
2017,12,12/1/2017,12253,
2018,1,1/1/2018,13545,
2018,2,2/1/2018,23032,
2018,3,3/1/2018,98173,
2018,4,4/1/2018,120763,
2018,5,5/1/2018,120816,
2018,6,6/1/2018,113984,
2018,7,7/1/2018,69176,
2018,8,8/1/2018,41604,
2018,9,9/1/2018,29543,
2018,10,10/1/2018,15645,
2018,11,11/1/2018,16021,
2018,12,12/1/2018,30168,
2019,1,1/1/2019,53705,
2019,2,2/1/2019,108875,
2019,3,3/1/2019,120800,r
2019,4,4/1/2019,122726,
2019,5,5/1/2019,122006,
2019,6,6/1/2019,122373,
2019,7,7/1/2019,118188,
2019,8,8/1/2019,103470,
2019,9,9/1/2019,88965,
2019,10,10/1/2019,81729,
2019,11,11/1/2019,78571,
2019,12,12/1/2019,63674,
2020,1,1/1/2020,27843,
2020,2,2/1/2020,22305,
2020,3,3/1/2020,48927,
2020,4,4/1/2020,121318,
2020,5,5/1/2020,120389,
2020,6,6/1/2020,106013,
2020,7,7/1/2020,90489,
2020,8,8/1/2020,57718,
