Year,Month,DATE / TIME (PDT),STORAGE AF
1996,6,6/1/1996,64792
1996,7,7/1/1996,64108
1996,8,8/1/1996,26248
1996,9,9/1/1996,1074
1996,10,10/1/1996,1091
1996,11,11/1/1996,1214
1996,12,12/1/1996,1537
1997,1,1/1/1997,27383
1997,2,2/1/1997,34124
1997,3,3/1/1997,30360
1997,4,4/1/1997,23591
1997,5,5/1/1997,64224
1997,6,6/1/1997,63609
1997,7,7/1/1997,57321
1997,8,8/1/1997,28198
1997,9,9/1/1997,17781
1997,10,10/1/1997,1042
1997,11,11/1/1997,1042
1997,12,12/1/1997,1042
1998,1,1/1/1998,1051
1998,2,2/1/1998,1159
1998,3,3/1/1998,1042
1998,4,4/1/1998,1449
1998,5,5/1/1998,1042
1998,6,6/1/1998,57210
1998,7,7/1/1998,62243
1998,8,8/1/1998,56331
1998,9,9/1/1998,15332
1998,10,10/1/1998,1076
1998,11,11/1/1998,1042
1998,12,12/1/1998,1144
1999,1,1/1/1999,1271
1999,2,2/1/1999,1271
1999,3,3/1/1999,1161
1999,4,4/1/1999,1282
1999,5,5/1/1999,38128
1999,6,6/1/1999,63759
1999,7,7/1/1999,55612
1999,8,8/1/1999,26552
1999,9,9/1/1999,10911
1999,10,10/1/1999,1142
1999,11,11/1/1999,1054
1999,12,12/1/1999,935
2000,1,1/1/2000,1142
2000,2,2/1/2000,1190
2000,3,3/1/2000,1327
2000,4,4/1/2000,3020
2000,5,5/1/2000,48101
2000,6,6/1/2000,64407
2000,7,7/1/2000,50051
2000,8,8/1/2000,36326
2000,9,9/1/2000,23078
2000,10,10/1/2000,23324
2000,11,11/1/2000,11186
2000,12,12/1/2000,1047
2001,1,1/1/2001,1186
2001,2,2/1/2001,1308
2001,3,3/1/2001,1507
2001,4,4/1/2001,3036
2001,5,5/1/2001,59969
2001,6,6/1/2001,47780
2001,7,7/1/2001,46473
2001,8,8/1/2001,37158
2001,9,9/1/2001,14416
2001,10,10/1/2001,1153
2001,11,11/1/2001,2273
2001,12,12/1/2001,1282
2002,1,1/1/2002,1228
2002,2,2/1/2002,1154
2002,3,3/1/2002,1348
2002,4,4/1/2002,11332
2002,5,5/1/2002,47155
2002,6,6/1/2002,60942
2002,7,7/1/2002,51467
2002,8,8/1/2002,23640
2002,9,9/1/2002,12126
2002,10,10/1/2002,1080
2002,11,11/1/2002,1099
2002,12,12/1/2002,1125
2003,1,1/1/2003,1161
2003,2,2/1/2003,1149
2003,3,3/1/2003,1353
2003,4,4/1/2003,1266
2003,5,5/1/2003,40219
2003,6,6/1/2003,56303
2003,7,7/1/2003,39859
2003,8,8/1/2003,26045
2003,9,9/1/2003,8599
2003,10,10/1/2003,1051
2003,11,11/1/2003,1078
2003,12,12/1/2003,1190
2004,1,1/1/2004,1134
2004,2,2/1/2004,1315
2004,3,3/1/2004,1434
2004,4,4/1/2004,10906
2004,5,5/1/2004,48015
2004,6,6/1/2004,56570
2004,7,7/1/2004,47753
