# Created by WEAP: 4/12/2021 4:43:36 PM

# Climate time series data extracted from NetCDF file: \\VIRACOCHA\users\David\Downloads\monthly_ACCESS1-0_rcp85.nc
# Raster grid: 368 rows x 368 columns, (53 N, 125 W) - (30 N, 102 W), 0.062 degree resolution (approximately 7 km)
# Timespan: Monthly, January 2006 - December 2099 (1,128 data points)
# Variables extracted:
#      tavg: tasmax[C]
#      Prcp: pr[mm]

# WEAP Catchment: WA_N_CEN_Interior Coulee (1,197,238 ha)
# Climate grid intersected and averaged over each elevation band of catchment: 0 - 1000 m (1,197,238 ha)

"$ListSeparator = ,"
"$DecimalSymbol = ."

$Columns = Year, Month, tavg[C]:Elevation 0 to 1000 m, Prcp[mm]:Elevation 0 to 1000 m
2027, 6, 24.94, 2.696
2027, 7, 24.46, 0.3282
2027, 8, 25.57, 10.87
2027, 9, 19.6, 40.77
2027, 10, 11.97, 42.09
2027, 11, -0.9688, 65.09
2027, 12, -7.179, 13.68
2028, 1, 1.047, 49.59
2028, 2, 3.43, 14.71
2028, 3, 11.12, 16.38
2028, 4, 12.93, 28.07
2028, 5, 19.51, 39.46
2028, 6, 19.78, 17.14
2028, 7, 25.92, 3.248
2028, 8, 26, 9.45
2028, 9, 16.64, 8.81
2028, 10, 12.57, 15.68
2028, 11, 9.175, 34.12
2028, 12, 2.055, 26
2029, 1, 1.193, 42.97
2029, 2, 2.137, 7.426
2029, 3, 9.718, 4.761
2029, 4, 11.01, 13.89
2029, 5, 15.12, 29.24
2029, 6, 23.32, 33.79
2029, 7, 23.09, 11.71
2029, 8, 24.84, 19.75
2029, 9, 21.72, 2.225
2029, 10, 12.69, 17.86
2029, 11, 4.887, 38.13
2029, 12, 2.908, 74.18
2030, 1, 2.5, 16.19
2030, 2, 4.663, 19.9
2030, 3, 7.566, 28.52
2030, 4, 14.14, 21.25
2030, 5, 20.14, 11.12
2030, 6, 22.23, 9.166
2030, 7, 25.56, 0.2591
2030, 8, 23.2, 11.66
2030, 9, 20.2, 0.3985
2030, 10, 12.44, 31.65
2030, 11, 5.539, 24.62
2030, 12, 1.772, 50.78
2031, 1, 0.4147, 52.17
2031, 2, 0.2685, 16.43
2031, 3, 9.258, 24.31
2031, 4, 11.5, 15.89
2031, 5, 17.85, 22.12
2031, 6, 22.67, 12.82
2031, 7, 26.64, 4.18
2031, 8, 24.75, 0.009513
2031, 9, 20.75, 2.739
2031, 10, 13.99, 9.836
2031, 11, 6.418, 41.71
2031, 12, 3.125, 59.87
2032, 1, -0.5805, 14.96
2032, 2, 5.974, 12.01
2032, 3, 11.16, 29.22
2032, 4, 12.48, 17.4
2032, 5, 20.43, 6.511
2032, 6, 20.11, 6.497
2032, 7, 25.51, 0.172
