# Created by WEAP: 4/12/2021 4:42:30 PM

# Climate time series data extracted from NetCDF file: \\VIRACOCHA\users\David\Downloads\monthly_ACCESS1-0_rcp85.nc
# Raster grid: 368 rows x 368 columns, (53 N, 125 W) - (30 N, 102 W), 0.062 degree resolution (approximately 7 km)
# Timespan: Monthly, January 2006 - December 2099 (1,128 data points)
# Variables extracted:
#      tavg: tasmax[C]
#      Prcp: pr[mm]

# WEAP Catchment: OR_W_Klamath (1,759,114 ha)
# Climate grid intersected and averaged over each elevation band of catchment: 0 - 1000 m (769,785 ha),  1000 - 2000 m (944,405 ha),  2000 - 3000 m (44,021 ha),  3000 - 4000 m (887 ha),  4000 - 5000 m (16 ha)

"$ListSeparator = ,"
"$DecimalSymbol = ."

$Columns = Year, Month, tavg[C]:Elevation 0 to 1000 m, tavg[C]:Elevation 1000 to 2000 m, tavg[C]:Elevation 2000 to 3000 m, tavg[C]:Elevation 3000 to 4000 m, tavg[C]:Elevation 4000 to 5000 m, Prcp[mm]:Elevation 0 to 1000 m, Prcp[mm]:Elevation 1000 to 2000 m, Prcp[mm]:Elevation 2000 to 3000 m, Prcp[mm]:Elevation 3000 to 4000 m, Prcp[mm]:Elevation 4000 to 5000 m
2016, 5, 16.67, 14.74, 11.86, 4.3, 3.917, 28.81, 31.06, 46.97, 35.49, 36.16
2016, 6, 20.85, 19.22, 16.43, 8.819, 8.431, 1.855, 1.737, 1.598, 1.153, 1.159
2016, 7, 22.39, 21, 18.28, 10.25, 9.861, 0.6623, 0.9747, 1.548, 0.6271, 0.6145
2016, 8, 22.36, 20.84, 18.05, 10.06, 9.674, 1.379, 1.603, 1.437, 2.428, 2.472
2016, 9, 16.1, 13.78, 10.45, 2.337, 1.948, 10.65, 12.74, 16.76, 23.46, 23.87
2016, 10, 13.49, 11.22, 8.155, 0.6398, 0.2632, 38.54, 38.33, 40.35, 42.89, 43.89
2016, 11, 6.52, 3.684, 0.172, -7.535, -7.919, 279.8, 277.4, 273.6, 245.4, 250.8
2016, 12, 2.606, -0.3438, -3.837, -10.97, -11.34, 70.63, 66.12, 56.32, 33.43, 34.02
2017, 1, 3.61, 0.6969, -2.665, -10.56, -10.95, 327.3, 324.2, 283.9, 244.5, 249
2017, 2, 6.645, 4.024, 0.8981, -6.374, -6.759, 136.6, 139.7, 137.2, 129.3, 131.9
2017, 3, 9.647, 6.978, 3.608, -4.433, -4.814, 63.49, 62.62, 60.29, 83.05, 84.93
2017, 4, 9.787, 7.272, 4.016, -3.953, -4.339, 63.22, 53.43, 46.66, 57.95, 59.48
2017, 5, 12.5, 10.23, 7.254, -0.405, -0.7892, 122.8, 138.2, 174.2, 219.5, 224
2017, 6, 17.31, 15.39, 12.51, 4.713, 4.33, 7.062, 9.56, 15.31, 24.51, 24.93
2017, 7, 20.39, 18.75, 15.93, 7.781, 7.395, 26.87, 35.97, 46.52, 25.4, 25.26
2017, 8, 21.71, 19.88, 16.83, 8.727, 8.339, 23.97, 28.92, 35.34, 37.74, 38.44
2017, 9, 20.13, 17.95, 14.66, 6.234, 5.842, 32.8, 41.53, 61.61, 71.53, 72.31
2017, 10, 12.97, 10.59, 7.357, -0.2387, -0.6222, 96.25, 102.9, 116.7, 95.15, 97.55
2017, 11, 8.044, 5.334, 2.24, -4.805, -5.178, 113.5, 116.1, 124.2, 204.7, 209.2
2017, 12, 5.439, 2.599, -0.7547, -8.686, -9.075, 512.5, 526.2, 477.8, 541.8, 552.3
2018, 1, 3.476, 0.5676, -2.831, -10.37, -10.75, 234, 232.1, 217.3, 213, 217.3
2018, 2, 7.1, 4.338, 0.9378, -6.908, -7.296, 130.1, 128.7, 119.8, 177.2, 181.1
2018, 3, 7.496, 4.737, 1.217, -7.012, -7.4, 93.13, 81.97, 74.33, 99.3, 101.5
2018, 4, 11.34, 8.996, 5.794, -1.892, -2.273, 57.61, 51.43, 42.43, 37.67, 38.57
2018, 5, 14.43, 12.28, 9.224, 1.433, 1.052, 28.81, 31.56, 38.91, 32.9, 33.54
2018, 6, 20.35, 18.78, 16.16, 8.711, 8.325, 1.364, 1.33, 1.256, 0.6829, 0.6956
2018, 7, 22.82, 21.35, 18.58, 10.16, 9.773, 0.0129, 0.01581, 0.03292, 0.1789, 0.1799
2018, 8, 21.51, 19.97, 17.15, 8.941, 8.554, 0.551, 1.09, 0.777, 1.564, 1.596
2018, 9, 16.85, 14.82, 11.75, 3.715, 3.333, 28.66, 28.44, 33.64, 67.09, 68.3
2018, 10, 12.81, 10.41, 7.24, -0.1082, -0.489, 61.04, 57.11, 60.1, 59.55, 61
2018, 11, 7.483, 4.823, 1.673, -5.842, -6.225, 356.7, 373.9, 366.5, 383.3, 391.1
2018, 12, 4.345, 1.562, -1.759, -9.03, -9.414, 214.9, 217.4, 204.9, 254.4, 259.7
2019, 1, 5.656, 2.936, -0.1281, -7.676, -8.061, 231.6, 223.9, 196.4, 225.4, 229.5
2019, 2, 6.952, 4.198, 0.7463, -6.675, -7.055, 16.92, 16.68, 15.33, 13.93, 14.2
2019, 3, 9.764, 7.156, 3.869, -4.424, -4.81, 82.19, 79.25, 85.86, 130.5, 132.9
2019, 4, 10.25, 7.782, 4.62, -3.17, -3.565, 79.11, 79.48, 94.29, 176.3, 180.2
2019, 5, 13.92, 11.58, 8.32, -0.03535, -0.4245, 106.9, 113.4, 136.7, 184.8, 188.9
2019, 6, 17.97, 15.97, 12.72, 4.399, 4.014, 16.69, 20.43, 29.91, 47.71, 48.16
2019, 7, 21.2, 19.63, 16.81, 8.807, 8.423, 0.7542, 1.223, 2.171, 1.423, 1.443
2019, 8, 20.01, 18.08, 14.96, 6.651, 6.267, 3.606, 5.356, 7.154, 4.24, 4.302
2019, 9, 19.4, 17.57, 14.74, 6.959, 6.574, 5.433, 7.909, 8.614, 4.953, 5.012
2019, 10, 14.3, 12.01, 8.932, 1.275, 0.8971, 5.409, 5.964, 6.981, 8.718, 8.917
2019, 11, 7.262, 4.547, 1.295, -6.347, -6.725, 158.8, 169.8, 174.5, 283.6, 289.8
2019, 12, 3.236, 0.3269, -3.019, -9.726, -10.1, 65.56, 61.55, 49.86, 32.53, 33.07
2020, 1, 4.907, 2.16, -0.9043, -7.636, -8.003, 63.15, 54.45, 42.12, 40.64, 41.27
2020, 2, 6.582, 3.735, 0.2112, -7.62, -8.008, 187.5, 195.1, 209, 172.6, 175.7
2020, 3, 8.123, 5.567, 2.259, -5.752, -6.138, 85.32, 78.77, 73.82, 82.47, 83.95
2020, 4, 12.35, 10.09, 6.998, -0.5002, -0.8895, 66.25, 70.88, 81.78, 187.3, 191.6
2020, 5, 11.79, 9.441, 6.415, -1.456, -1.841, 77.23, 70.1, 72.58, 90.55, 92.19
2020, 6, 19.67, 17.95, 15.13, 7.342, 6.96, 4.47, 3.686, 2.776, 2.47, 2.494
2020, 7, 21.45, 19.91, 17.14, 9.016, 8.629, 0.7201, 0.7893, 1.193, 3.179, 3.227
2020, 8, 22.33, 20.79, 18.07, 9.748, 9.359, 3.391, 4.556, 6.249, 8.921, 8.96
2020, 9, 17.39, 15.47, 12.48, 4.314, 3.921, 32.65, 35.33, 43.11, 65.74, 66.81
2020, 10, 12.46, 9.978, 6.754, -0.6035, -0.9882, 72.51, 75.8, 87.15, 75.42, 77.26
2020, 11, 6.532, 3.75, 0.3894, -7.179, -7.565, 78.94, 78.95, 71.59, 60.63, 61.98
2020, 12, 3.674, 0.737, -2.719, -9.565, -9.941, 82.1, 76.02, 67.62, 65.34, 66.71
2021, 1, 4.143, 1.342, -1.847, -8.683, -9.06, 36.6, 37.57, 34.03, 35.99, 36.57
2021, 2, 6.884, 4.101, 0.6974, -7.17, -7.561, 181.8, 192.5, 200.8, 240.5, 244.9
2021, 3, 8.565, 5.873, 2.447, -6.004, -6.401, 230.1, 246, 269.2, 453.5, 462.8
2021, 4, 11.61, 9.185, 5.922, -1.799, -2.184, 17.01, 15.59, 10.69, 11.88, 12.22
2021, 5, 17.27, 15.13, 12.03, 3.664, 3.277, 22.83, 29.08, 43.57, 74.5, 75.97
2021, 6, 15.84, 13.56, 10.28, 1.741, 1.35, 130.7, 135.9, 149.5, 196.7, 198.9
2021, 7, 23.64, 22.01, 19.1, 11.21, 10.83, 0.4728, 0.601, 0.5321, 0.6302, 0.6263
2021, 8, 21.95, 20.28, 17.31, 9.117, 8.733, 1.555, 2.532, 4.024, 0.4816, 0.4833
2021, 9, 17.18, 15.08, 12.03, 4.131, 3.741, 44.04, 39.46, 36.62, 23.43, 23.99
2021, 10, 13.93, 11.7, 8.806, 1.825, 1.448, 61.5, 62.4, 70.44, 109.1, 111.7
