# Created by WEAP: 5/6/2021 11:59:32 PM

# Climate time series data extracted from NetCDF file: C:\Users\yates\Downloads\gridded_obs.monthly.1950-1999.nc
# Raster grid: 222 rows x 462 columns, (53 N, 125 W) - (25 N, 67 W), 0.125 degree resolution (approximately 14 km)
# Timespan: Monthly, January 1950 - December 1999 (600 data points)
# Variables extracted:
#      pr: monthly_sum_pr[mm/m]
#      tas: monthly_avg_Tavg[C]

# WEAP Catchment: CA_PGE_N_Upr Bear (3,880 ha)
# Climate grid intersected and averaged over each elevation band of catchment: 1000 - 2000 m (3,880 ha)

"$ListSeparator = ,"
"$DecimalSymbol = ."

$Columns = Year, Month, pr[mm/m]:Elevation 1000 to 2000 m, tas[C]:Elevation 1000 to 2000 m
1988, 8, 0, 22.17
1988, 9, 3.989, 19.59
1988, 10, 0.654, 17.76
1988, 11, 422.4, 5.481
1988, 12, 208.6, 3.458
1989, 1, 116.4, 2.728
1989, 2, 158.4, 1
1989, 3, 590.4, 5.01
1989, 4, 94.14, 10.43
1989, 5, 35.5, 11.73
1989, 6, 14.03, 16.56
1989, 7, 0, 19.61
1989, 8, 29.52, 17.89
1989, 9, 79.11, 15.95
1989, 10, 201.6, 10.63
1989, 11, 140.8, 8.404
1989, 12, 0.01752, 7.013
1990, 1, 249, 2.875
1990, 2, 172.6, 2.205
1990, 3, 121.5, 6.79
1990, 4, 65.04, 11.52
1990, 5, 227.4, 11.29
1990, 6, 1.852, 16.61
1990, 7, 7.093, 21.49
1990, 8, 1.756, 20.13
1990, 9, 8.327, 18.02
1990, 10, 27.21, 14.86
1990, 11, 38.33, 7.669
1990, 12, 55.94, 0.8361
1991, 1, 29.38, 4.539
1991, 2, 97.95, 8.016
1991, 3, 659.9, 1.585
1991, 4, 81.65, 6.321
1991, 5, 135.4, 9.241
1991, 6, 61.63, 14.78
1991, 7, 0, 20.61
1991, 8, 11.42, 18.43
1991, 9, 2.284, 19.5
1991, 10, 131.3, 14.83
1991, 11, 103.3, 7.969
1991, 12, 126.4, 4.814
1992, 1, 70.76, 4.455
1992, 2, 391.1, 5.003
1992, 3, 139.8, 6.214
1992, 4, 67.52, 10.75
1992, 5, 2.669, 16.22
1992, 6, 85.77, 16.2
1992, 7, 2.303, 18.39
1992, 8, 0.233, 21.2
1992, 9, 0.4962, 17.96
1992, 10, 185.1, 13.6
1992, 11, 34.8, 6.802
1992, 12, 502.5, 0.6493
1993, 1, 616.7, 0.7844
1993, 2, 376.3, 1.702
1993, 3, 239.8, 7.115
1993, 4, 112.5, 7.151
1993, 5, 128.2, 11.73
1993, 6, 76.36, 14.94
1993, 7, 0, 17.75
1993, 8, 9.876, 18
1993, 9, 1.48, 16.56
1993, 10, 63.33, 12.2
1993, 11, 114, 5.977
1993, 12, 227.3, 2.142
1994, 1, 90.05, 4.543
1994, 2, 289.4, 2.385
1994, 3, 40.9, 7.692
1994, 4, 104.4, 8.776
1994, 5, 67.68, 12.01
1994, 6, 6.824, 15.62
1994, 7, 0, 20.74
1994, 8, 0, 19.35
1994, 9, 38.28, 16.31
1994, 10, 19.92, 10.1
1994, 11, 348.6, 1.057
1994, 12, 347.5, 1.455
1995, 1, 897.2, 2.049
1995, 2, 60.44, 6.386
1995, 3, 760.9, 2.963
1995, 4, 297.1, 5.692
1995, 5, 192.7, 8.983
1995, 6, 81.41, 13.67
1995, 7, 3.104, 17.78
1995, 8, 0.1211, 18.72
1995, 9, 0, 17.56
1995, 10, 0, 13.84
1995, 11, 34.96, 10.95
1995, 12, 453, 3.64
1996, 1, 508.5, 3.414
1996, 2, 486.9, 4.561
1996, 3, 231.1, 5.514
1996, 4, 220.7, 7.879
1996, 5, 304.4, 10.81
1996, 6, 13.03, 16.3
1996, 7, 3.732, 20.64
1996, 8, 0.04723, 21.33
1996, 9, 29.75, 15.73
1996, 10, 60.03, 10.8
1996, 11, 263.1, 6.555
1996, 12, 1033, 2.953
1997, 1, 809.8, 2.883
1997, 2, 56.32, 4.268
1997, 3, 74.89, 6.89
1997, 4, 70.49, 7.929
1997, 5, 32.54, 14.24
1997, 6, 72.71, 15.12
1997, 7, 0.1544, 19.15
1997, 8, 15.63, 18.64
1997, 9, 13.14, 16.32
1997, 10, 97.71, 9.87
1997, 11, 222.6, 6.075
1997, 12, 163.2, 1.538
1998, 1, 595.3, 2.034
1998, 2, 603.3, 0.9083
1998, 3, 217.9, 4.454
1998, 4, 205.7, 5.193
1998, 5, 230.9, 6.055
1998, 6, 35.64, 13.62
1998, 7, 0.07986, 19.71
1998, 8, 0, 20.32
1998, 9, 41.51, 16.45
1998, 10, 44.72, 9.558
1998, 11, 381, 3.834
1998, 12, 169.3, 1.703
1999, 1, 390.7, 2.998
1999, 2, 518, 1.806
1999, 3, 133, 3.308
1999, 4, 104.7, 6.536
1999, 5, 58.58, 12.13
1999, 6, 12.13, 15.87
1999, 7, 6.313, 19.43
1999, 8, 7.316, 18.81
1999, 9, 0.6648, 20.14
1999, 10, 77.29, 16.19
1999, 11, 165.6, 8.604
1999, 12, 47.55, 6.388
