# Created by WEAP: 5/10/2021 8:07:17 PM

# Climate time series data extracted from NetCDF file: \\VIRACOCHA\users\David\Downloads\monthly_HadGEM2-CC_rcp85.nc
# Raster grid: 368 rows x 368 columns, (53 N, 125 W) - (30 N, 102 W), 0.062 degree resolution (approximately 7 km)
# Timespan: Monthly, January 2006 - December 2099 (1,128 data points)
# Variables extracted:
#      tavg: tasmax[C]
#      Prcp: pr[mm]

# WEAP Catchment: WA_W_Upr Nisqually (76,281 ha)
# Climate grid intersected and averaged over each elevation band of catchment: 0 - 1000 m (47,338 ha),  1000 - 2000 m (25,455 ha),  2000 - 3000 m (2,311 ha),  3000 - 4000 m (912 ha),  4000 - 5000 m (265 ha)

"$ListSeparator = ,"
"$DecimalSymbol = ."

$Columns = Year, Month, tavg[C]:Elevation 0 to 1000 m, tavg[C]:Elevation 1000 to 2000 m, tavg[C]:Elevation 2000 to 3000 m, tavg[C]:Elevation 3000 to 4000 m, tavg[C]:Elevation 4000 to 5000 m, Prcp[mm]:Elevation 0 to 1000 m, Prcp[mm]:Elevation 1000 to 2000 m, Prcp[mm]:Elevation 2000 to 3000 m, Prcp[mm]:Elevation 3000 to 4000 m, Prcp[mm]:Elevation 4000 to 5000 m
2013, 8, 17.01, 14.93, 4.644, 2.982, 2.439, 33.78, 46.22, 64.78, 64.24, 62.11
2013, 9, 15.93, 13.98, 3.974, 2.322, 1.758, 59.61, 68.19, 78.58, 76.77, 75.54
2013, 10, 10.32, 8.644, -0.9965, -2.641, -3.194, 200.1, 249.8, 328.9, 322.9, 318.9
2013, 11, 5.188, 3.176, -6.413, -8.051, -8.632, 162.6, 217, 314.1, 311.1, 309.9
2013, 12, 3.135, 0.7614, -8.943, -10.59, -11.14, 425, 535.9, 811.4, 808.7, 802
2014, 1, 3.637, 1.204, -8.736, -10.39, -10.95, 391.4, 460.5, 612.4, 607.4, 603.6
2014, 2, 4.988, 2.665, -7.686, -9.365, -9.893, 239, 270.1, 374.1, 372.1, 368.6
2014, 3, 5.938, 3.737, -6.38, -8.042, -8.602, 167.8, 195.6, 288.6, 287.7, 282.8
2014, 4, 8.422, 5.875, -4.641, -6.305, -6.842, 163.2, 181.7, 243.4, 241.4, 238.8
2014, 5, 7.763, 5.279, -5.236, -6.914, -7.448, 176.3, 207.4, 273.5, 269.8, 265.2
2014, 6, 12.54, 10.36, -0.5822, -2.288, -2.796, 196.1, 208.8, 216.6, 210.2, 207.5
2014, 7, 18.87, 17.1, 6.941, 5.271, 4.733, 19.03, 21.41, 19.99, 19.43, 19.1
2014, 8, 20.02, 18.41, 8.658, 7.007, 6.449, 47.34, 46.43, 49.74, 47.88, 47.6
2014, 9, 17.14, 15.52, 5.61, 3.968, 3.407, 64.59, 80.92, 93.81, 92.1, 90.46
