# Created by WEAP: 3/20/2020 7:36:21 PM

# Climate time series data extracted from NetCDF file: C:\Users\yates\Documents\WEAP Areas\SWHydroSwitch\ClimateData\BCSD_HistClimo_PandT.nc
# Raster grid: 185 rows x 201 columns, (53 N, 124 W) - (30 N, 99 W), 0.125 degree resolution (approximately 14 km)
# Timespan: Monthly, January 1950 - December 1999 (600 data points)
# Variables extracted:
#      Prcp: monthly_avg_Prcp[mm/d]
#      Tavg: monthly_avg_Tavg[C]

# WEAP Catchment: Colo Headwaters (174,643 ha)
# Climate grid intersected and averaged over each elevation band of catchment: 2000 - 3000 m (66,819 ha),  3000 - 4000 m (106,563 ha),  4000 - 5000 m (1,262 ha)

"$ListSeparator = ,"
"$DecimalSymbol = ."

$Columns = Year, Month, Prcp[mm/d]:Elevation 2000 to 3000 m, Prcp[mm/d]:Elevation 3000 to 4000 m, Prcp[mm/d]:Elevation 4000 to 5000 m, Tavg[C]:Elevation 2000 to 3000 m, Tavg[C]:Elevation 3000 to 4000 m, Tavg[C]:Elevation 4000 to 5000 m
1954, 1, 0.8593, 1.002, 0.9596, -5.45, -7.423, -8.184
1954, 2, 1.094, 1.557, 1.499, -3.96, -5.846, -6.458
1954, 3, 2.067, 2.325, 1.995, -4.903, -7.51, -8.686
1954, 4, 0.876, 1.445, 1.638, 3.549, 0.5664, -0.7261
1954, 5, 1.688, 2.093, 2.084, 6.92, 4.085, 2.943
1954, 6, 0.6376, 0.701, 0.7907, 10.96, 8.226, 7.526
1954, 7, 1.666, 1.808, 1.903, 14.95, 11.77, 10.77
1954, 8, 0.7652, 0.7642, 0.8829, 12.95, 10.21, 9.338
1954, 9, 2.324, 2.592, 2.68, 9.802, 7.473, 6.663
1954, 10, 1.225, 1.722, 1.865, 4.345, 2.167, 1.352
1954, 11, 1.59, 1.761, 1.427, -1.426, -3.321, -3.884
1954, 12, 1.207, 1.629, 1.41, -10.81, -10.66, -9.96
1955, 1, 0.807, 1.315, 1.407, -12.37, -12.97, -12.7
1955, 2, 1.761, 2.486, 2.404, -12.71, -13.92, -13.93
1955, 3, 2.228, 3.037, 2.799, -6.442, -8.437, -9.046
1955, 4, 0.8216, 1.1, 0.9439, -1.098, -3.619, -4.5
1955, 5, 2.038, 2.725, 2.695, 5.562, 2.811, 1.548
1955, 6, 0.7313, 0.7505, 0.8164, 8.606, 6.161, 5.32
1955, 7, 1.532, 2.134, 2.455, 13.17, 10.68, 9.925
1955, 8, 2.523, 3.254, 3.618, 12.7, 10.26, 9.431
1955, 9, 0.423, 0.3973, 0.4485, 9.134, 6.8, 6.206
1955, 10, 1.272, 1.878, 1.9, 3.372, 1.107, 0.5027
1955, 11, 3.245, 3.749, 3.179, -5.149, -7.089, -7.802
1955, 12, 1.054, 1.657, 1.641, -5.783, -7.659, -8.387
1956, 1, 3.08, 3.889, 3.363, -6.476, -8.19, -8.778
1956, 2, 2.629, 3.343, 2.983, -12.8, -13.6, -13.42
1956, 3, 1.445, 1.907, 1.663, -6.06, -7.761, -8.153
1956, 4, 3.622, 4.893, 4.456, 0.3848, -2.598, -3.93
1956, 5, 1.186, 1.428, 1.595, 7.627, 4.813, 3.66
1956, 6, 0.3594, 0.6363, 0.7785, 11.99, 9.399, 8.624
1956, 7, 1.588, 1.612, 1.551, 12.71, 9.873, 8.934
1956, 8, 0.9351, 0.9335, 1.01, 11.14, 8.421, 7.542
1956, 9, 0.1273, 0.19, 0.1876, 9.683, 7.244, 6.696
1956, 10, 0.8369, 1.213, 1.353, 3.732, 1.301, 0.5512
1956, 11, 1.1, 1.52, 1.487, -7.123, -9.081, -9.589
1956, 12, 1.88, 2.017, 1.731, -11.11, -11.15, -10.43
1957, 1, 3.86, 4.608, 4.327, -11.12, -12.26, -12.62
1957, 2, 1.933, 2.561, 2.165, -5.627, -6.748, -7.159
1957, 3, 2.287, 2.893, 2.884, -5.336, -7.365, -8.277
1957, 4, 4.294, 5.422, 5.693, -1.147, -4.056, -5.508
1957, 5, 3.209, 4.045, 4.351, 4.269, 1.357, -0.1757
1957, 6, 1.559, 1.25, 1.122, 9.618, 6.771, 5.481
1957, 7, 2.295, 2.849, 3.086, 13.21, 10.38, 9.285
1957, 8, 1.54, 1.947, 2.279, 12.64, 9.799, 8.734
1957, 9, 0.754, 0.7246, 0.6629, 7.368, 4.82, 4.068
1957, 10, 1.307, 1.347, 1.231, 3.784, 1.17, 0.09216
1957, 11, 1.326, 1.783, 1.531, -6.46, -8.665, -9.491
1957, 12, 1.585, 2.188, 1.829, -8.775, -9.846, -9.743
1958, 1, 0.7879, 1.371, 1.409, -12.69, -12.87, -12.02
1958, 2, 1.875, 3.189, 2.953, -5.672, -7.609, -8.216
1958, 3, 2.365, 2.802, 2.523, -6.207, -8.67, -9.773
1958, 4, 2.411, 3.393, 3.649, -1.61, -4.336, -5.368
1958, 5, 1.012, 1.438, 1.592, 7.292, 4.62, 3.64
1958, 6, 0.836, 0.8245, 0.8093, 11.49, 8.849, 8.065
1958, 7, 1.048, 0.9386, 0.8513, 12.47, 9.88, 9.162
1958, 8, 0.8349, 0.9687, 1.1, 13.34, 10.77, 10.04
1958, 9, 0.8982, 0.9572, 1.052, 9.352, 6.771, 6.083
1958, 10, 0.5447, 0.5324, 0.4812, 3.277, 1.023, 0.6387
1958, 11, 1.582, 1.87, 1.591, -3.306, -5.128, -5.467
1958, 12, 1.886, 2.862, 2.561, -6.73, -8.06, -8.255
1959, 1, 2.328, 3.066, 2.888, -9.525, -11.08, -11.28
1959, 2, 2.53, 3.495, 3.191, -8.456, -10.13, -10.8
1959, 3, 2.093, 2.83, 2.724, -6.304, -8.615, -9.44
1959, 4, 2.279, 2.745, 2.461, -0.3035, -3.098, -4.243
1959, 5, 2.08, 2.273, 2.137, 5.699, 2.925, 1.651
1959, 6, 1.71, 1.778, 1.722, 11.55, 8.891, 8.1
1959, 7, 1.354, 1.288, 1.244, 12.68, 10.06, 9.26
1959, 8, 1.382, 1.21, 1.258, 12.44, 9.762, 8.918
1959, 9, 3.5, 3.609, 3.434, 7.404, 4.931, 4.17
1959, 10, 2.002, 2.16, 2.091, 2.145, -0.4047, -1.438
1959, 11, 0.8748, 1.368, 1.325, -3.983, -6.093, -6.872
1959, 12, 0.759, 0.7992, 0.5672, -7.852, -8.573, -8.175
1960, 1, 0.5611, 0.9652, 1.095, -9.745, -11.78, -12.24
1960, 2, 2.84, 4.129, 3.972, -11.18, -13.27, -14.05
1960, 3, 2.624, 3.537, 3.24, -3.092, -5.504, -6.651
1960, 4, 1.706, 1.993, 1.789, 1.607, -1.227, -2.382
1960, 5, 1.883, 1.893, 1.783, 5.108, 2.257, 1.173
1960, 6, 0.5256, 0.8308, 1.014, 10.61, 7.919, 7.129
1960, 7, 1.013, 1.433, 1.63, 12.92, 10.16, 9.424
1960, 8, 0.9479, 0.7105, 0.5973, 12.49, 9.834, 9.241
1960, 9, 0.9612, 1.08, 1.117, 9.642, 7.155, 6.438
1960, 10, 1.03, 1.482, 1.718, 2.914, 0.4965, -0.2632
1960, 11, 1.187, 1.267, 0.9554, -3.377, -5.412, -5.959
1960, 12, 1.295, 2.027, 2.021, -9.607, -10.53, -10.53
1961, 1, 0.3986, 0.5587, 0.4883, -11.72, -11.96, -11
1961, 2, 1.933, 2.315, 1.775, -7.637, -9.718, -10.17
1961, 3, 2.152, 2.761, 2.651, -3.934, -6.451, -7.496
1961, 4, 3.492, 4.351, 3.855, -0.6893, -3.607, -4.784
1961, 5, 1.925, 2.168, 2.081, 5.945, 3.133, 2.017
1961, 6, 0.5505, 0.7309, 0.9698, 11.27, 8.749, 7.587
1961, 7, 2.29, 2.933, 3.244, 13.37, 10.59, 9.284
1961, 8, 1.741, 2.001, 2.38, 13.73, 10.88, 9.427
1961, 9, 5.213, 4.766, 4.513, 6.074, 3.822, 2.568
1961, 10, 0.7153, 1.189, 1.397, 3.145, 0.8507, -0.3732
1961, 11, 1.17, 1.594, 1.628, -5.451, -7.494, -8.213
1961, 12, 1.427, 1.866, 1.712, -10.25, -12.25, -13.21
1962, 1, 2.914, 3.768, 4.014, -15.18, -14.6, -13.63
1962, 2, 2.544, 3.474, 3.222, -6.632, -8.178, -9.045
1962, 3, 0.773, 1.275, 1.478, -7.769, -9.749, -10.64
1962, 4, 2.851, 4.334, 4.694, 2.521, -0.3411, -1.938
1962, 5, 2.071, 1.78, 1.609, 5.969, 3.271, 1.667
1962, 6, 0.951, 0.9195, 0.9491, 10.02, 7.457, 5.963
1962, 7, 0.9728, 1.436, 1.736, 12.89, 10.5, 9.118
1962, 8, 0.7693, 0.9542, 1.065, 12.58, 10.05, 8.774
1962, 9, 0.5825, 0.7161, 0.7991, 9.427, 7.035, 5.774
1962, 10, 0.6432, 0.759, 0.7578, 5.105, 2.878, 1.785
1962, 11, 0.7026, 1.093, 1.162, -0.8667, -2.975, -3.929
1962, 12, 1.059, 1.275, 1.232, -7.463, -8.529, -8.714
1963, 1, 2.392, 3.017, 2.923, -12.49, -13.51, -13.93
1963, 2, 2.093, 3.001, 2.802, -5.982, -8.241, -9.172
1963, 3, 1.782, 2.05, 1.988, -4.876, -7, -8.004
1963, 4, 0.5183, 0.9059, 0.9906, 2.225, -0.8128, -2.721
1963, 5, 0.3807, 0.4026, 0.4032, 8.013, 5.217, 3.657
1963, 6, 2.672, 2.655, 2.608, 10.98, 8.429, 7.141
1963, 7, 0.926, 1.606, 1.953, 15.33, 12.55, 11
1963, 8, 3.781, 4.392, 4.896, 13.29, 10.36, 8.792
1963, 9, 0.6356, 0.8299, 1.026, 11.47, 8.777, 7.352
1963, 10, 0.7115, 1.091, 1.318, 7.171, 4.746, 3.493
1963, 11, 0.7076, 0.7241, 0.6498, -1.848, -3.741, -4.641
1963, 12, 1.131, 1.637, 1.816, -9.112, -10.45, -10.9
1964, 1, 1.328, 1.474, 1.588, -12.63, -13.44, -13.73
1964, 2, 1.569, 2.182, 2.416, -13.06, -14.41, -14.8
1964, 3, 2.66, 3.15, 3.23, -8.926, -10.79, -11.47
1964, 4, 1.578, 2.719, 3.485, -0.5928, -3.387, -4.734
1964, 5, 0.5341, 0.8648, 1.132, 5.769, 2.99, 1.641
1964, 6, 1.116, 1.273, 1.525, 9.482, 6.871, 5.688
1964, 7, 1.384, 1.693, 1.884, 14.72, 11.87, 10.71
1964, 8, 1.714, 1.928, 2.134, 11.68, 8.911, 7.685
1964, 9, 0.8529, 1.018, 1.089, 8.333, 5.915, 4.902
1964, 10, 0.4193, 0.5256, 0.6173, 3.687, 1.524, 0.6544
1964, 11, 1.935, 2.774, 3.015, -4.025, -5.852, -6.622
1964, 12, 3.34, 4.523, 4.635, -9.553, -10.78, -11.21
1965, 1, 2.606, 3.461, 3.815, -9.175, -9.777, -9.836
1965, 2, 1.138, 1.454, 1.375, -10.08, -11.01, -11.23
1965, 3, 3.16, 3.909, 3.913, -10.12, -11.37, -11.8
1965, 4, 1.174, 1.986, 2.555, 0.1669, -2.408, -3.486
1965, 5, 1.276, 1.643, 1.871, 4.889, 2.137, 0.7424
1965, 6, 1.637, 2.415, 2.909, 9.176, 6.374, 5.044
1965, 7, 3.026, 3.896, 4.494, 12.76, 10.13, 8.969
1965, 8, 1.633, 2.064, 2.432, 10.96, 8.39, 7.41
1965, 9, 2.153, 2.017, 2.078, 6.4, 4.013, 2.96
1965, 10, 0.162, 0.2729, 0.3495, 4.351, 2.334, 1.606
1965, 11, 2.311, 2.726, 2.595, -1.968, -4.086, -4.979
1965, 12, 1.489, 1.612, 1.548, -8.055, -8.535, -8.463
1966, 1, 0.3103, 0.5373, 0.7206, -11.48, -12.85, -13.08
1966, 2, 0.8268, 1.489, 1.862, -10.91, -12.71, -13.29
1966, 3, 0.5488, 0.6964, 0.7612, -3.635, -6.009, -6.791
1966, 4, 1.496, 2.267, 2.616, 0.5242, -2.268, -3.515
1966, 5, 1.361, 1.943, 2.142, 6.106, 3.632, 2.732
1966, 6, 0.8716, 1.411, 1.812, 9.727, 7.256, 6.448
1966, 7, 1.169, 1.632, 1.939, 14.79, 12.16, 11.22
1966, 8, 1.106, 1.506, 1.642, 12.27, 9.704, 8.782
1966, 9, 1.18, 1.458, 1.465, 9.005, 6.549, 5.683
1966, 10, 1.273, 1.479, 1.575, 2.515, 0.538, -0.3931
1966, 11, 0.7925, 1.111, 1.12, -1.461, -3.636, -4.652
1966, 12, 2.646, 3.088, 2.954, -12.48, -11.59, -10.99
1967, 1, 1.305, 1.836, 2.287, -9.21, -10.21, -10.62
1967, 2, 2.685, 3.56, 3.798, -10.04, -10.97, -11.35
1967, 3, 1.637, 1.979, 1.923, -1.968, -4.246, -5.35
1967, 4, 1.307, 2.26, 2.525, 1.103, -1.828, -3.226
1967, 5, 1.206, 1.842, 2.289, 4.154, 1.339, -0.02857
1967, 6, 2.017, 1.933, 1.961, 8.533, 5.914, 4.766
1967, 7, 1.214, 1.888, 2.346, 13.42, 10.73, 9.555
1967, 8, 1.331, 1.819, 2.264, 11.7, 8.957, 7.807
1967, 9, 1.701, 1.83, 1.96, 8.686, 6.133, 5.022
1967, 10, 1.081, 1.345, 1.489, 3.769, 1.595, 0.6714
1967, 11, 1.39, 1.981, 2.252, -3.135, -5.162, -5.989
1967, 12, 2.099, 3.208, 3.741, -10.8, -12.01, -12.6
1968, 1, 0.5329, 0.681, 0.8458, -11.38, -10.43, -9.702
1968, 2, 2.216, 3.233, 3.74, -8.455, -8.912, -9.067
1968, 3, 0.8827, 1.327, 1.489, -5.863, -7.166, -7.556
1968, 4, 1.538, 2.388, 2.942, -2.112, -4.687, -5.816
1968, 5, 1.535, 1.764, 1.823, 4.076, 1.415, 0.2019
1968, 6, 0.2512, 0.2839, 0.364, 10.59, 8.1, 7.104
1968, 7, 1.007, 1.776, 2.407, 12.99, 10.3, 9.108
1968, 8, 1.937, 2.513, 2.766, 11.22, 8.67, 7.531
1968, 9, 1.101, 1.42, 1.631, 7.262, 4.845, 3.812
1968, 10, 0.7597, 1.032, 1.185, 3.691, 1.559, 0.5402
1968, 11, 2.08, 3.001, 3.369, -6.979, -8.204, -8.645
1968, 12, 1.185, 1.621, 1.858, -9.372, -10.76, -11.42
1969, 1, 3.022, 4.399, 4.84, -6.615, -8.51, -9.216
1969, 2, 0.8363, 1.044, 1.155, -9.845, -10.46, -10.45
1969, 3, 0.9109, 1.222, 1.232, -8.665, -10.28, -10.71
1969, 4, 1.389, 1.829, 2.102, 2.208, -0.4564, -1.735
1969, 5, 1.874, 3.532, 4.407, 7.33, 4.699, 3.556
1969, 6, 3.756, 3.684, 3.763, 8.321, 5.762, 4.59
1969, 7, 1.007, 1.281, 1.442, 14.37, 11.63, 10.35
1969, 8, 1.377, 1.761, 1.914, 14.27, 11.56, 10.28
1969, 9, 1.327, 1.669, 1.956, 9.369, 6.851, 5.731
1969, 10, 3.712, 4.726, 5.218, -0.2728, -2.818, -4.042
1969, 11, 0.9356, 1.236, 1.305, -5.613, -6.897, -7.294
1969, 12, 2.463, 3.599, 3.899, -8.392, -9.309, -9.64
1970, 1, 1.653, 2.893, 3.501, -9.949, -11.38, -12
1970, 2, 1.066, 1.956, 2.164, -7.317, -8.565, -8.829
1970, 3, 1.879, 2.497, 2.645, -6.463, -9.035, -10.02
1970, 4, 2.283, 3.249, 3.573, -2.877, -5.669, -6.854
1970, 5, 0.3895, 0.6231, 0.7238, 5.663, 3.118, 2.041
1970, 6, 1.142, 1.338, 1.62, 9.755, 7.193, 6.085
1970, 7, 1.306, 1.862, 2.022, 13.32, 10.75, 9.698
1970, 8, 1.582, 2.137, 2.724, 13.61, 10.99, 9.865
1970, 9, 2.198, 2.65, 2.896, 7.499, 5.142, 4.12
1970, 10, 1.979, 1.963, 1.898, -0.4585, -2.637, -3.666
1970, 11, 2.497, 2.862, 2.78, -3.302, -5.676, -6.688
1970, 12, 1.392, 1.492, 1.484, -8.466, -9.639, -9.968
1971, 1, 1.297, 1.979, 2.487, -7.824, -10.02, -10.88
1971, 2, 2.15, 3.957, 4.867, -8.716, -10.89, -11.8
1971, 3, 1.84, 2.542, 2.68, -5.763, -8.089, -9.081
1971, 4, 2.253, 3.301, 3.707, 0.5524, -2.091, -3.319
1971, 5, 1.675, 2.111, 2.302, 4.586, 1.848, 0.4978
1971, 6, 0.5898, 0.8572, 1.053, 10.38, 7.915, 6.918
1971, 7, 1.048, 1.406, 1.67, 13.13, 10.39, 9.249
1971, 8, 1.02, 1.467, 1.834, 13.16, 10.23, 8.854
1971, 9, 1.472, 1.418, 1.447, 6.877, 4.553, 3.439
1971, 10, 0.6864, 1.113, 1.398, 3.014, 0.5248, -0.7115
1971, 11, 1.775, 2.454, 2.682, -4.704, -6.307, -7.054
1971, 12, 2.288, 2.146, 1.834, -10.73, -11.56, -11.86
1972, 1, 1.528, 2.505, 3.168, -10.14, -11.64, -12.23
1972, 2, 1.666, 2.438, 2.645, -7.017, -8.912, -9.796
1972, 3, 1.605, 2.612, 3.139, -1.141, -3.794, -5.086
1972, 4, 2.011, 2.222, 1.992, 1.679, -1.085, -2.526
1972, 5, 0.9534, 1.199, 1.419, 5.213, 2.462, 1.235
1972, 6, 1.541, 1.833, 2.069, 10.99, 8.118, 6.747
1972, 7, 0.5993, 0.7114, 0.824, 13.03, 10.51, 9.322
1972, 8, 1.323, 1.656, 1.976, 12.03, 9.384, 8.087
1972, 9, 1.565, 1.604, 1.675, 8.233, 5.678, 4.336
1972, 10, 1.446, 1.383, 1.27, 3.819, 1.243, -0.1982
1972, 11, 1.385, 2.163, 2.431, -6.592, -8.979, -10.29
1972, 12, 1.683, 2.2, 2.341, -11.37, -11.88, -12.41
1973, 1, 0.9654, 1.037, 0.9518, -13.44, -12.68, -12.39
1973, 2, 0.9906, 1.075, 0.9986, -11.3, -10.9, -10.77
1973, 3, 1.447, 1.897, 2.102, -6.213, -7.99, -8.978
1973, 4, 3.318, 4.443, 4.675, -2.764, -5.725, -7.567
1973, 5, 2.672, 3.856, 4.362, 4.553, 1.545, -0.2318
1973, 6, 1.313, 1.167, 1.224, 9.32, 6.747, 5.336
1973, 7, 2.665, 2.745, 2.887, 11.75, 9.454, 8.503
1973, 8, 0.8543, 0.8665, 0.9075, 12.41, 10.08, 9.037
1973, 9, 0.6057, 1.004, 1.207, 7.958, 5.499, 4.211
1973, 10, 0.4963, 0.6643, 0.7501, 3.773, 1.715, 0.7614
1973, 11, 1.908, 2.017, 1.869, -2.561, -4.496, -5.407
1973, 12, 2.563, 3.904, 4.162, -9.02, -10.01, -10.34
1974, 1, 1.928, 2.437, 2.394, -12.06, -12.2, -12.31
1974, 2, 0.9484, 1.4, 1.363, -11.84, -11.64, -11.52
1974, 3, 3.038, 3.851, 3.637, -2.132, -4.485, -5.512
1974, 4, 1.878, 2.843, 3.181, -0.624, -3.514, -4.928
1974, 5, 0.3204, 0.4082, 0.483, 6.814, 4.211, 2.964
1974, 6, 1.576, 1.59, 1.596, 10.45, 8.115, 7.212
1974, 7, 2.375, 3.266, 3.871, 12.94, 10.58, 9.664
1974, 8, 0.5431, 0.8298, 0.9492, 11.15, 8.879, 7.852
1974, 9, 0.8143, 0.9329, 1.037, 7.541, 5.431, 4.543
1974, 10, 1.177, 1.731, 1.921, 3.989, 1.823, 0.7812
1974, 11, 0.7914, 1.222, 1.505, -4.141, -6.164, -7.318
1974, 12, 1.219, 1.914, 2.263, -11.82, -12.19, -12.27
1975, 1, 1.957, 2.774, 3.224, -10.38, -11.59, -12.27
1975, 2, 1.818, 2.541, 2.766, -10.88, -11.8, -12.2
1975, 3, 2.591, 3.517, 3.742, -4.52, -7.277, -8.692
1975, 4, 1.888, 2.301, 2.307, -1.644, -4.384, -5.952
1975, 5, 1.038, 1.443, 1.668, 4.229, 1.243, -0.4032
1975, 6, 0.7975, 0.7992, 0.868, 8.52, 5.903, 4.607
1975, 7, 1.463, 2.164, 2.345, 12.96, 10.5, 9.425
1975, 8, 0.9246, 0.9268, 0.9218, 11.49, 9.263, 8.247
1975, 9, 1.074, 1.68, 1.94, 7.589, 5.375, 4.363
1975, 10, 1.181, 1.114, 1.013, 3.031, 1.387, 0.6783
1975, 11, 1.869, 2.615, 2.828, -5.282, -6.804, -7.512
1975, 12, 0.6591, 0.8912, 0.9469, -7.087, -7.924, -8.057
1976, 1, 1.506, 2.056, 2.229, -10.65, -11.78, -12.36
1976, 2, 2.225, 3.375, 3.641, -6.146, -7.539, -8.337
1976, 3, 1.938, 2.303, 2.361, -6.275, -8.114, -9.105
1976, 4, 1.538, 2.453, 2.666, 1.032, -1.579, -2.931
1976, 5, 2.924, 3.166, 2.783, 5.306, 2.933, 1.872
1976, 6, 0.9164, 0.8334, 0.8252, 9.298, 7.024, 6.084
1976, 7, 1.403, 1.811, 1.912, 13.61, 10.99, 9.89
1976, 8, 1.413, 1.717, 2.036, 11.54, 9.086, 8.103
1976, 9, 1.827, 2.135, 2.131, 8.161, 5.909, 4.877
1976, 10, 0.5, 0.8353, 0.9813, 1.095, -0.8634, -1.796
1976, 11, 1.082, 1.398, 1.272, -4.561, -6.148, -6.852
1976, 12, 0.2554, 0.487, 0.6188, -9.691, -10.18, -10.23
1977, 1, 0.5437, 0.6698, 0.7915, -10.64, -12.08, -12.47
1977, 2, 1.067, 1.882, 2.247, -7.65, -9.153, -9.501
1977, 3, 1.887, 2.404, 2.528, -6.578, -8.964, -9.916
1977, 4, 1.89, 3.299, 3.967, 1.463, -1.263, -2.442
1977, 5, 1.047, 0.8127, 0.6119, 5.721, 3.134, 2.012
1977, 6, 0.6641, 0.7493, 0.6777, 12.25, 9.618, 8.511
1977, 7, 1.82, 2.265, 2.636, 13.92, 11.32, 10.25
1977, 8, 1.688, 1.293, 1.228, 12.91, 10.37, 9.349
1977, 9, 1.162, 1.205, 1.147, 9.771, 7.35, 6.432
1977, 10, 1.411, 1.727, 1.901, 3.373, 1.372, 0.6528
1977, 11, 1.598, 2.281, 2.664, -2.567, -4.897, -5.928
1977, 12, 2.931, 4.19, 4.305, -6.688, -8.966, -9.876
1978, 1, 1.693, 2.118, 2.422, -9.192, -10.75, -11.11
1978, 2, 1.863, 2.677, 2.682, -8.281, -9.869, -10.41
1978, 3, 1.947, 2.587, 2.827, -2.615, -4.917, -6.003
1978, 4, 1.902, 1.962, 2.12, 1.925, -0.9307, -2.439
1978, 5, 1.804, 2.787, 3.313, 4.243, 1.172, -0.2225
1978, 6, 1.085, 1.117, 0.9969, 10.63, 7.994, 6.841
1978, 7, 0.5884, 0.7075, 0.8137, 13.68, 11.32, 10.36
1978, 8, 0.6338, 0.6204, 0.7058, 11.57, 9.166, 8.1
1978, 9, 0.5826, 0.4504, 0.4139, 8.849, 6.483, 5.543
1978, 10, 0.9799, 1.312, 1.53, 3.83, 1.517, 0.8014
1978, 11, 1.228, 2.026, 2.4, -2.73, -4.88, -5.853
1978, 12, 3.027, 2.682, 2.192, -11.84, -13.2, -13.61
1979, 1, 2.541, 3.249, 3.341, -14.18, -15.5, -15.65
1979, 2, 1.444, 1.926, 1.917, -8.686, -10.38, -10.66
1979, 3, 2.344, 3.195, 3.401, -4.904, -7.042, -7.725
1979, 4, 1.796, 2.251, 2.422, 0.3664, -2.485, -3.81
