# Created by WEAP: 3/19/2020 3:28:53 PM

# Climate time series data extracted from: Monthly, 1948-2010, 0.25 degree (Princeton)
# Raster grid: 720 rows x 1,440 columns, (90 N, 180 W) - (90 S, 180 E), 0.25 degree resolution (approximately 28 km)
# Timespan: Monthly, January 1948 - December 2010 (756 data points)
# Variables extracted:
#      T_mean: Mean monthly air temperature = (tmin + tmax)/2[C]
#      Precip: Precipitation[mm/month]
#      Wind: Wind speed[m/sec]

# WEAP Catchment: Upper Missouri (1,541,200 ha)
# Climate grid intersected and averaged over each elevation band of catchment: 0 - 1000 m (3,455 ha),  1000 - 2000 m (1,369,426 ha),  2000 - 3000 m (168,320 ha)

"$ListSeparator = ,"
"$DecimalSymbol = ."

$Columns = Year, Month, T_mean[C]:Elevation 0 to 1000 m, T_mean[C]:Elevation 1000 to 2000 m, T_mean[C]:Elevation 2000 to 3000 m, Precip[mm/month]:Elevation 0 to 1000 m, Precip[mm/month]:Elevation 1000 to 2000 m, Precip[mm/month]:Elevation 2000 to 3000 m, Wind[m/sec]:Elevation 0 to 1000 m, Wind[m/sec]:Elevation 1000 to 2000 m, Wind[m/sec]:Elevation 2000 to 3000 m
1957, 2, -4.841, -5.482, -7.478, 15.86, 16.49, 23.99, 4.846, 4.469, 4.375
1957, 3, 2.045, 0.6135, -1.795, 8.245, 13.61, 17.25, 3.688, 3.417, 3.339
1957, 4, 6.883, 4.952, 2.466, 20.28, 23.97, 27.13, 3.52, 3.308, 3.258
1957, 5, 14.7, 12.36, 9.825, 48.34, 80.84, 82.63, 2.922, 2.736, 2.698
1957, 6, 17.31, 15.25, 12.53, 80.99, 71.54, 81.44, 3.352, 3.14, 3.108
1957, 7, 22.14, 19.73, 16.55, 14.23, 12.47, 10.6, 2.773, 2.616, 2.617
1957, 8, 19.17, 17.11, 14.44, 33.42, 30.22, 28.65, 2.492, 2.261, 2.239
1957, 9, 16.37, 14.14, 11.72, 29.01, 35.52, 34.67, 3.165, 3.006, 2.965
1957, 10, 5.394, 4.411, 2.592, 37.51, 37.88, 44.55, 2.773, 2.565, 2.527
1957, 11, 2.603, 0.8365, -1.727, 10.87, 18.03, 23.71, 4.585, 4.173, 4.034
1957, 12, 3.161, 1.525, -0.7294, 1.839, 4.238, 8.44, 5.706, 5.229, 5.086
1958, 1, 2.975, 1.529, -0.8688, 7.681, 8.32, 11.86, 5.295, 4.639, 4.444
1958, 2, -3.911, -3.77, -4.965, 29.8, 26.95, 30.07, 3.277, 3.141, 3.088
1958, 3, -1.864, -2.55, -4.337, 31.7, 34.69, 30.95, 2.997, 2.866, 2.85
1958, 4, 7.628, 5.404, 2.814, 22.63, 33.04, 37.85, 4.024, 3.735, 3.655
