# Created by WEAP: 8/4/2020 8:37:58 AM

# Climate time series data extracted from NetCDF file: C:\Users\yates\Documents\NCAR\Hyperion\livnehmon_1970-2013.nc
# Raster grid: 368 rows x 368 columns, (53 N, 125 W) - (30 N, 102 W), 0.062 degree resolution (approximately 7 km)
# Timespan: Monthly, January 1970 - December 2013 (528 data points)
# Variables extracted:
#      Prcp: Precipitation[mm]
#      Tavg: Daily maximum temperature[C]
#      wind: mean daily wind speed[m/s]

# WEAP Catchment: Lwr Coolee Interior (1,144,723 ha)
# Climate grid intersected and averaged over each elevation band of catchment: 0 - 1000 m (1,144,723 ha)

"$ListSeparator = ,"
"$DecimalSymbol = ."

$Columns = Year, Month, Prcp[mm]:Elevation 0 to 1000 m, Tavg[C]:Elevation 0 to 1000 m, wind[m/s]:Elevation 0 to 1000 m
1981, 1, 14.46, 2.666, 3.27
1981, 2, 33.7, 2.709, 2.938
1981, 3, 24.25, 7.999, 2.609
1981, 4, 7.29, 9.92, 2.963
1981, 5, 35.77, 14.19, 1.981
1981, 6, 23.79, 16.6, 2.35
1981, 7, 7.232, 21.35, 2.145
1981, 8, 1.896, 24.24, 2.092
1981, 9, 12.47, 17.75, 1.856
1981, 10, 26.33, 9.748, 2.413
1981, 11, 23.9, 5.047, 2.976
1981, 12, 44.88, -1.29, 3.303
1982, 1, 20.03, -3.659, 3.815
1982, 2, 29.79, 1.108, 3.454
1982, 3, 17.38, 5.815, 2.665
1982, 4, 24.68, 7.978, 2.756
1982, 5, 8.403, 14.49, 2.221
1982, 6, 29.34, 20.75, 1.892
1982, 7, 15.56, 21.65, 2.098
1982, 8, 4.674, 22.27, 1.762
1982, 9, 26.56, 17.05, 2.127
1982, 10, 26.97, 9.597, 2.243
1982, 11, 34.01, 1.011, 3.121
1982, 12, 55.38, -1.714, 3.093
1983, 1, 36.59, 1.805, 3.613
1983, 2, 56.8, 3.925, 3.315
1983, 3, 56.18, 7.637, 2.767
1983, 4, 19.18, 9.824, 2.114
1983, 5, 13.88, 16.14, 2.443
1983, 6, 27.04, 17.92, 2.226
1983, 7, 22.66, 20.38, 2.467
1983, 8, 7.381, 23.28, 1.909
1983, 9, 9.155, 15.76, 2.405
1983, 10, 14.7, 10.71, 2.099
1983, 11, 86.9, 5.371, 3.613
1983, 12, 44.55, -6.608, 3.162
1984, 1, 17.34, -1.204, 3.225
1984, 2, 33.23, 2.423, 2.974
1984, 3, 36.51, 7.405, 2.445
1984, 4, 33.28, 9.075, 2.594
1984, 5, 24.49, 12.28, 2.479
1984, 6, 43.45, 17.39, 2.066
1984, 7, 6.431, 23.09, 2.033
1984, 8, 2.142, 22.72, 2.043
1984, 9, 19.78, 15.59, 2.212
1984, 10, 10.5, 8.495, 2.453
1984, 11, 70.88, 2.984, 3.513
1984, 12, 17.53, -6.462, 3.222
1985, 1, 10.68, -5.237, 2.052
1985, 2, 17.16, -3.798, 3.134
1985, 3, 12.66, 4.184, 2.286
1985, 4, 3.297, 11.51, 2.529
1985, 5, 13.25, 16.29, 2.161
1985, 6, 9.315, 19.37, 2.326
1985, 7, 1.467, 26.09, 2.133
1985, 8, 4.625, 20.72, 2.051
1985, 9, 26.67, 14.3, 2.281
1985, 10, 14.48, 9.439, 2.784
1985, 11, 26.82, -4.585, 3.131
1985, 12, 18.46, -6.882, 2.677
1986, 1, 54.22, -0.9234, 3.753
1986, 2, 45.27, 0.7177, 2.993
1986, 3, 26.64, 8.253, 2.224
1986, 4, 17.52, 9.821, 2.286
1986, 5, 10.5, 15.63, 2.423
1986, 6, 1.969, 21.88, 1.995
1986, 7, 4.295, 20.54, 2.201
1986, 8, 2.63, 25.12, 1.98
1986, 9, 33.69, 15.31, 2.377
1986, 10, 13.54, 12.43, 2.095
1986, 11, 25.22, 3.846, 2.815
1986, 12, 19.65, -1.504, 2.936
1987, 1, 22.96, -2.391, 3.003
1987, 2, 16.75, 3.337, 3.158
1987, 3, 40.63, 7.857, 3.024
1987, 4, 9.171, 13.28, 2.324
1987, 5, 14.53, 16.77, 2.467
1987, 6, 16.16, 20.63, 1.868
1987, 7, 23.61, 21.89, 2.441
1987, 8, 18.11, 21.92, 1.876
1987, 9, 0.3458, 19.92, 1.832
1987, 10, 1.869, 12.25, 1.855
1987, 11, 18.4, 5.432, 2.756
1987, 12, 64.86, -1.844, 3.093
1988, 1, 18.99, -2.834, 3.21
1988, 2, 0.8734, 2.857, 3.227
1988, 3, 21.59, 6.458, 3.2
1988, 4, 21.49, 11.9, 2.681
1988, 5, 20.32, 14.8, 2.293
1988, 6, 14.05, 18.5, 2.186
1988, 7, 0.6497, 22.75, 2.043
1988, 8, 0.1932, 22.24, 2.023
1988, 9, 13.27, 17.38, 1.992
1988, 10, 1.818, 14.31, 2.19
1988, 11, 55.02, 4.524, 3.52
1988, 12, 18.52, -1.565, 2.996
1989, 1, 12.06, -0.5431, 3.537
1989, 2, 30.39, -3.694, 2.765
1989, 3, 42.46, 4.683, 2.656
1989, 4, 28.09, 12.33, 2.506
1989, 5, 38.06, 13.88, 2.217
1989, 6, 2.356, 20.05, 1.909
1989, 7, 5.183, 21.81, 2.215
1989, 8, 18.3, 20.35, 2.013
1989, 9, 0.4929, 18.05, 2.002
1989, 10, 17.44, 10.36, 2.184
1989, 11, 28.77, 4.733, 3.237
1989, 12, 8.796, -0.7762, 2.527
1990, 1, 30.48, 1.802, 4.08
1990, 2, 14.19, 0.1194, 3.748
1990, 3, 9.21, 7.064, 2.125
1990, 4, 19.39, 12.36, 1.988
1990, 5, 35.78, 13.82, 2.302
1990, 6, 16.97, 18.17, 2.358
1990, 7, 23.81, 24.4, 2.178
1990, 8, 32.76, 22.98, 2.076
1990, 9, 0.1591, 20.73, 1.845
1990, 10, 34.69, 9.074, 2.827
1990, 11, 5.599, 5.426, 3.788
1990, 12, 22.67, -5.056, 3.899
1991, 1, 17.75, -3.417, 2.974
1991, 2, 11.65, 5.304, 2.859
1991, 3, 37.41, 4.885, 2.554
1991, 4, 15.26, 10.2, 2.841
1991, 5, 32.4, 13.33, 2.206
1991, 6, 31.68, 16.1, 2.048
1991, 7, 9.012, 22.58, 1.861
1991, 8, 11.55, 23.45, 2.009
1991, 9, 0.8444, 19.5, 1.932
1991, 10, 11.24, 10.03, 1.98
1991, 11, 51.76, 2.706, 3.215
1991, 12, 15.11, 1.403, 3.498
1992, 1, 24.69, 0.6034, 3.332
1992, 2, 24.07, 5.06, 2.559
1992, 3, 7.875, 9.606, 1.702
1992, 4, 27.57, 11.56, 2.246
1992, 5, 2.242, 17.04, 1.95
1992, 6, 23.75, 22.24, 2.174
1992, 7, 41.47, 22.1, 1.636
1992, 8, 3.793, 22.84, 1.83
1992, 9, 3.527, 16.39, 2.294
1992, 10, 15.78, 11.71, 2.332
1992, 11, 44.1, 3.104, 2.877
1992, 12, 41.5, -4.17, 3.347
1993, 1, 30.65, -5.612, 3.242
1993, 2, 18.86, -2.458, 2.941
1993, 3, 23.14, 4.486, 2.56
1993, 4, 44.19, 9.571, 2.211
1993, 5, 18.58, 18.05, 2.513
1993, 6, 18.79, 18.17, 2.307
1993, 7, 45.84, 18.92, 2.008
1993, 8, 9.509, 20.77, 1.973
1993, 9, 4.418, 17.91, 1.526
1993, 10, 2.541, 12.41, 1.745
1993, 11, 6.508, 0.8703, 2.523
1993, 12, 45.12, 0.4059, 3.248
1994, 1, 20.32, 2.725, 2.733
1994, 2, 17.25, 0.6363, 3.323
1994, 3, 4.022, 8.2, 2.429
1994, 4, 25.46, 12.46, 2.364
1994, 5, 28.05, 16.2, 1.755
1994, 6, 14.21, 18.79, 2.041
1994, 7, 1.594, 24.93, 2.016
1994, 8, 2.408, 22.8, 2.017
1994, 9, 2.902, 19.92, 1.639
1994, 10, 34.25, 10.8, 2.283
1994, 11, 37.78, 1.977, 3.205
1994, 12, 35.74, 0.3493, 3.323
1995, 1, 66.32, 0.3373, 3.87
1995, 2, 22.42, 4.813, 3.364
1995, 3, 51.38, 6.587, 3.053
1995, 4, 20.87, 10.11, 2.391
1995, 5, 14.99, 16.32, 2.289
1995, 6, 34.52, 18.36, 2.296
1995, 7, 11.37, 22.87, 2.361
1995, 8, 6.352, 19.84, 2.042
1995, 9, 20.58, 19.52, 1.925
1995, 10, 21.05, 9.688, 2.595
1995, 11, 44.79, 5.239, 3.787
1995, 12, 52.41, -0.4332, 3.583
1996, 1, 36.32, -3.268, 3.362
1996, 2, 39.38, -0.6348, 3.979
1996, 3, 23.58, 5.408, 2.638
1996, 4, 21.12, 11.02, 2.683
1996, 5, 29.07, 12.41, 2.108
1996, 6, 17.33, 18.35, 1.973
1996, 7, 5.055, 24.13, 1.766
1996, 8, 5.18, 22.77, 1.927
1996, 9, 10.68, 16.06, 1.967
1996, 10, 51.43, 10, 2.387
1996, 11, 47.88, 1.947, 3.002
1996, 12, 92.68, -3.821, 3.624
1997, 1, 37.13, -2.007, 3.452
1997, 2, 26.56, 0.7228, 2.796
1997, 3, 32.04, 6.047, 3.277
1997, 4, 23.72, 9.257, 2.513
1997, 5, 37.3, 16.31, 1.782
1997, 6, 25.76, 17.79, 2.152
1997, 7, 12.64, 21.81, 2.029
1997, 8, 8.289, 23.72, 2.041
1997, 9, 17.35, 18.71, 2.403
1997, 10, 25.71, 10.48, 2.802
1997, 11, 31.76, 4.884, 3.263
1997, 12, 14.66, -0.327, 3.341
1998, 1, 41.7, 0.1195, 3.951
1998, 2, 36.89, 4.841, 3.416
1998, 3, 24.58, 7.19, 2.488
1998, 4, 7.397, 10.91, 2.001
1998, 5, 40.78, 15.66, 2.942
1998, 6, 14.3, 19.33, 2.284
1998, 7, 26.39, 26.09, 1.848
1998, 8, 4.177, 24.18, 1.99
1998, 9, 5.711, 20.78, 1.636
1998, 10, 5.698, 10.92, 2.059
1998, 11, 48.09, 5.787, 3.472
1998, 12, 52.89, -0.9346, 4.026
1999, 1, 28.47, 1.754, 3.414
1999, 2, 61.51, 3.612, 4.604
1999, 3, 10.4, 6.746, 2.996
1999, 4, 6.3, 9.89, 2.357
1999, 5, 13.12, 13.02, 2.641
1999, 6, 19.29, 17.92, 2.471
1999, 7, 5.101, 21.59, 2.296
1999, 8, 16.19, 23.85, 2.09
1999, 9, 0.06297, 17.61, 2.235
1999, 10, 11.07, 10.65, 2.534
1999, 11, 31.53, 6.663, 3.353
1999, 12, 24.93, 1.798, 3.607
2000, 1, 36.21, -1.06, 3.5
2000, 2, 32.53, 2.475, 3.03
2000, 3, 35.06, 6.319, 2.417
2000, 4, 22.76, 12.28, 2.27
2000, 5, 23.55, 14.65, 2.049
2000, 6, 19.6, 19.16, 2.325
2000, 7, 10.28, 22.39, 1.893
2000, 8, 0.02499, 22.14, 2.199
2000, 9, 14.39, 16.6, 2.286
2000, 10, 12.65, 10.55, 2.297
2000, 11, 26.48, -0.04472, 2.372
2000, 12, 19.36, -3.005, 3.042
2001, 1, 12.26, -1.372, 2.804
