# Created by WEAP: 2/27/2020 12:37:15 PM

# Climate time series data extracted from: Monthly, 1948-2010, 0.25 degree (Princeton)
# Raster grid: 720 rows x 1,440 columns, (90 N, 180 W) - (90 S, 180 E), 0.25 degree resolution (approximately 28 km)
# Timespan: Monthly, January 1948 - December 2010 (756 data points)
# Variables extracted:
#      T_mean: Mean monthly air temperature = (tmin + tmax)/2[C]
#      Precip: Precipitation[mm/month]
#      Wind: Wind speed[m/sec]

# WEAP Catchment: Upr Snake (154,941 ha)
# Climate grid intersected and averaged over each elevation band of catchment: 1000 - 2000 m (144,254 ha),  2000 - 3000 m (10,687 ha)

"$ListSeparator = ,"
"$DecimalSymbol = ."

$Columns = Year, Month, T_mean[C]:Elevation 1000 to 2000 m, T_mean[C]:Elevation 2000 to 3000 m, Precip[mm/month]:Elevation 1000 to 2000 m, Precip[mm/month]:Elevation 2000 to 3000 m, Wind[m/sec]:Elevation 1000 to 2000 m, Wind[m/sec]:Elevation 2000 to 3000 m
1954, 10, 9.312, 7.364, 13.17, 21.28, 2.626, 2.599
1954, 11, 6.57, 4.242, 22.22, 13.68, 2.853, 2.842
1954, 12, -0.6402, -2.62, 15.45, 14.79, 2.831, 2.825
1955, 1, -5.357, -6.75, 15.55, 17.1, 2.698, 2.738
1955, 2, -2.063, -4.465, 13.27, 11.89, 3.723, 3.761
1955, 3, 0.5336, -1.075, 16.97, 20.88, 4.049, 4.018
1955, 4, 5.427, 3.374, 27.57, 30.34, 3.46, 3.551
1955, 5, 11.52, 9.1, 41.82, 50.47, 2.94, 2.937
1955, 6, 16.77, 14.12, 29.12, 41.87, 2.925, 2.913
1955, 7, 20.22, 17.97, 12.85, 21.03, 2.178, 2.167
1955, 8, 21.69, 19.24, 4.999, 8.579, 1.882, 1.828
1955, 9, 14.95, 12.7, 7.619, 9.248, 2.425, 2.391
1955, 10, 10.59, 8.8, 12.89, 17.65, 2.946, 2.911
1955, 11, 1.03, -0.6855, 29.6, 23.09, 3.566, 3.514
1955, 12, 0.801, -1.005, 79.58, 69.12, 3.988, 4.015
1956, 1, 0.3367, -0.9853, 75.34, 95.88, 3.295, 3.298
1956, 2, -3.532, -5.403, 26.41, 25.55, 3.509, 3.562
1956, 3, 3.9, 2.187, 7.094, 6.66, 3.506, 3.568
1956, 4, 9.041, 6.706, 11.73, 12.58, 2.913, 2.945
1956, 5, 14.05, 11.4, 58.03, 75.15, 2.476, 2.475
1956, 6, 17.22, 15.09, 9.781, 12.39, 2.762, 2.759
1956, 7, 21.44, 19.08, 6.547, 9.213, 2.253, 2.25
1956, 8, 19.18, 16.94, 1.831, 3.091, 2.245, 2.226
1956, 9, 16.38, 14.05, 0, 0, 2.706, 2.681
1956, 10, 9.252, 7.115, 64.54, 76.45, 3.019, 3.051
1956, 11, 2.287, 0.09307, 5.671, 6.123, 2.29, 2.299
1956, 12, 0.1813, -1.822, 14.45, 16.03, 2.728, 2.743
1957, 1, -5.423, -7.228, 18.89, 18.02, 2.955, 2.967
1957, 2, 1.62, -0.7048, 34.35, 30.62, 2.967, 2.948
1957, 3, 4.589, 2.487, 34.09, 37.52, 3.235, 3.283
1957, 4, 7.7, 5.18, 32.68, 39.73, 3.223, 3.314
1957, 5, 13.09, 10.61, 94.41, 100.4, 2.558, 2.596
1957, 6, 17.12, 14.77, 18.2, 21.97, 2.868, 2.872
1957, 7, 20.86, 18.69, 0, 0, 2.468, 2.47
1957, 8, 20.95, 18.52, 4.374, 4.521, 2.237, 2.226
1957, 9, 16.96, 14.53, 0.2146, 0, 2.347, 2.358
1957, 10, 10.34, 8.142, 21.13, 23.5, 2.517, 2.485
1957, 11, 1.591, -0.3857, 18.36, 20.32, 2.848, 2.855
1957, 12, 1.395, -0.6154, 25.68, 25.02, 3.483, 3.476
1958, 1, -1.567, -3.239, 18.38, 19.51, 2.811, 2.833
1958, 2, 4.823, 3.055, 30.92, 28.5, 3.325, 3.34
1958, 3, 2.812, 0.5718, 28.33, 24.49, 2.888, 2.921
1958, 4, 6.381, 4.242, 46.06, 51.49, 3.534, 3.579
1958, 5, 16.38, 14.05, 34.95, 36.56, 2.526, 2.566
1958, 6, 17.14, 14.69, 29.48, 33.34, 2.764, 2.809
1958, 7, 20.21, 17.97, 9.689, 11.09, 2.467, 2.47
1958, 8, 22.76, 20.43, 7.125, 11.86, 2.089, 2.084
1958, 9, 16.03, 14.07, 0.8998, 0, 2.964, 3.004
1958, 10, 12.23, 9.898, 2.11, 2.657, 2.677, 2.664
1958, 11, 4.029, 2.098, 26.28, 31.84, 3.169, 3.136
1958, 12, 4.111, 2.098, 29.81, 37.84, 2.671, 2.627
1959, 1, 1.167, -0.2769, 36.6, 33.32, 3.462, 3.464
1959, 2, 1.72, 0.02295, 21.26, 13.8, 3.56, 3.601
1959, 3, 3.947, 1.938, 12.34, 13.8, 3.263, 3.332
1959, 4, 9.804, 7.255, 7.871, 10.09, 3.314, 3.354
1959, 5, 10.54, 7.983, 52.48, 68.12, 3.14, 3.181
1959, 6, 18.78, 16.53, 7.675, 10.71, 2.751, 2.741
1959, 7, 22.62, 20.36, 0.6042, 0.787, 2.561, 2.564
1959, 8, 19.65, 17.17, 6.838, 10.38, 2.424, 2.447
1959, 9, 14.3, 12.06, 70.23, 84.76, 3.012, 3.008
1959, 10, 10.18, 8.072, 15.47, 17.83, 3.203, 3.215
1959, 11, 3.872, 1.848, 6.214, 2.965, 3.043, 3.031
1959, 12, 0.4929, -1.911, 17.52, 13.53, 2.564, 2.596
1960, 1, -3.406, -5.243, 20.37, 18.69, 2.668, 2.678
1960, 2, -1.142, -3.258, 33.9, 28.21, 3.367, 3.42
1960, 3, 4.815, 2.895, 38.95, 47.11, 3.267, 3.306
1960, 4, 9.145, 6.706, 16.96, 17.89, 3.083, 3.142
1960, 5, 12.14, 9.828, 19.68, 26.01, 3.166, 3.198
1960, 6, 18.48, 16.21, 0.9409, 2.147, 2.669, 2.678
1960, 7, 24.12, 21.71, 3.224, 5.171, 2.375, 2.38
1960, 8, 18.92, 16.69, 19.6, 29.04, 2.779, 2.783
1960, 9, 17.5, 15.25, 9.156, 5.883, 2.724, 2.698
1960, 10, 10.34, 8.481, 2.471, 0, 2.845, 2.862
1960, 11, 4.403, 2.576, 45.33, 40.26, 3.908, 3.907
1960, 12, -0.2065, -2.211, 11.05, 16.84, 2.51, 2.549
1961, 1, 0.5716, -1.254, 9.853, 11.55, 2.146, 2.145
1961, 2, 3.597, 1.868, 35.1, 41.09, 3.136, 3.151
1961, 3, 3.942, 2.098, 31.21, 39.47, 3.242, 3.314
1961, 4, 7.695, 5.27, 9.499, 10.03, 3.617, 3.673
1961, 5, 13.23, 11.19, 23.57, 23.57, 3.339, 3.358
1961, 6, 20.59, 17.95, 9.384, 8.657, 2.332, 2.321
1961, 7, 22.83, 20.27, 14.69, 27.39, 2.558, 2.564
1961, 8, 22.89, 20.43, 12.69, 14.54, 2.115, 2.126
1961, 9, 13.32, 10.86, 45.61, 63.22, 2.936, 2.975
1961, 10, 9.577, 7.434, 39.52, 37.81, 3.328, 3.371
1961, 11, 3.278, 1.21, 19.46, 18.05, 3.223, 3.209
1961, 12, -1.769, -3.897, 22.32, 19.96, 2.915, 2.914
1962, 1, -5.185, -7.318, 13.53, 11.57, 2.948, 2.987
1962, 2, 0.7114, -1.503, 52.49, 41.91, 3.087, 3.147
1962, 3, 2.268, -0.06651, 28.24, 30.57, 3.199, 3.254
1962, 4, 11.29, 8.691, 15.66, 13.26, 3.315, 3.34
1962, 5, 12.07, 9.419, 73.42, 94.02, 2.722, 2.755
1962, 6, 17.06, 14.53, 12.18, 13.41, 2.237, 2.251
1962, 7, 20.17, 17.72, 8.463, 5.305, 2.177, 2.142
1962, 8, 18.97, 16.69, 8.207, 11.86, 2.642, 2.654
1962, 9, 16.82, 14.37, 12.53, 16.79, 2.569, 2.551
1962, 10, 11.63, 9.1, 11.94, 14.8, 2.961, 2.992
1962, 11, 6.3, 3.993, 20.33, 16.23, 2.871, 2.879
1962, 12, 2.527, 0.2333, 13.77, 9.942, 2.183, 2.18
1963, 1, -3.636, -5.652, 26.49, 32.7, 3.14, 3.181
1963, 2, 6.708, 4.312, 42, 38.64, 3.015, 3.033
1963, 3, 5.514, 2.787, 16.93, 18.82, 3.635, 3.717
1963, 4, 6.822, 4.382, 55.47, 68.32, 3.555, 3.596
1963, 5, 13.78, 11.42, 52.5, 70.32, 2.39, 2.405
1963, 6, 14.72, 12.04, 97.19, 115.5, 2.374, 2.425
1963, 7, 20.1, 17.56, 0.3222, 0.2377, 2.689, 2.676
1963, 8, 20.66, 18.04, 25.07, 39.88, 2.201, 2.191
1963, 9, 18.52, 16.28, 33.32, 38.84, 2.3, 2.304
1963, 10, 13.22, 11.1, 12.42, 17.06, 2.692, 2.695
1963, 11, 4.105, 2.257, 59.41, 52.49, 2.997, 2.991
1963, 12, -1.562, -3.577, 20.24, 22.12, 2.437, 2.429
1964, 1, -2.871, -4.765, 30.52, 27.82, 3.692, 3.707
1964, 2, -3.402, -6.329, 0.2535, 0, 3.346, 3.408
1964, 3, -0.2657, -2.62, 24.27, 18.91, 3.484, 3.551
1964, 4, 6.7, 4.153, 27.79, 30.59, 3.536, 3.554
1964, 5, 12.24, 9.738, 34.79, 46.95, 3.01, 3.008
1964, 6, 15.26, 12.61, 66.66, 82.88, 2.604, 2.63
1964, 7, 21.86, 19.4, 8.745, 11.91, 2.605, 2.587
1964, 8, 19.19, 16.76, 0.2022, 0, 2.748, 2.729
1964, 9, 14.27, 11.9, 3.894, 5.237, 2.834, 2.837
1964, 10, 12.21, 9.987, 14.96, 21.23, 2.409, 2.417
1964, 11, 3.138, 1.21, 40.07, 34.65, 3.658, 3.677
1964, 12, 0.4799, -1.324, 134.3, 124.4, 4.552, 4.546
1965, 1, -0.1016, -1.713, 38.43, 30.37, 3.798, 3.814
1965, 2, 2.055, 0.5211, 4.462, 4.201, 3.498, 3.55
1965, 3, 2.053, -0.156, 5.896, 5.908, 3.075, 3.122
1965, 4, 8.885, 6.547, 59.73, 73.1, 3.396, 3.417
1965, 5, 10.85, 8.302, 32.43, 36.27, 3.316, 3.34
1965, 6, 16.43, 13.89, 24.22, 23.95, 2.413, 2.392
1965, 7, 20.44, 17.88, 23.63, 40.51, 2.242, 2.245
1965, 8, 19.16, 16.6, 53.57, 67.69, 2.242, 2.245
1965, 9, 12.74, 10.22, 14.01, 18.29, 2.939, 2.943
1965, 10, 13.2, 10.86, 0.1237, 0, 2.183, 2.192
1965, 11, 7.091, 4.881, 29.77, 26.81, 3.021, 3.014
1965, 12, 0.4689, -1.841, 20.8, 18.74, 3.135, 3.144
1966, 1, -0.5676, -2.052, 29.45, 16.4, 3.506, 3.5
1966, 2, 0.7935, -1.184, 9.935, 9.788, 3.142, 3.201
1966, 3, 4.617, 2.487, 25.75, 28.53, 3.153, 3.207
1966, 4, 8.476, 5.659, 13.42, 13.51, 2.85, 2.867
1966, 5, 15.66, 13.09, 10.53, 11.47, 3.191, 3.217
1966, 6, 16.9, 14.37, 6.883, 6.613, 2.628, 2.654
1966, 7, 21.7, 19.15, 1.379, 0, 2.772, 2.771
1966, 8, 20.52, 17.88, 1.971, 2.661, 2.499, 2.473
1966, 9, 18.22, 15.64, 10.4, 7.617, 2.657, 2.696
1966, 10, 9.87, 7.664, 3.12, 2.386, 2.802, 2.826
1966, 11, 5.594, 3.604, 36.72, 37.8, 3.205, 3.229
1966, 12, -0.4344, -2.211, 29.17, 23.44, 3.299, 3.317
1967, 1, 1.134, -0.3663, 51.9, 37.23, 4.612, 4.631
1967, 2, 3.049, 1.459, 3.272, 2.398, 3.901, 3.921
1967, 3, 4.507, 2.487, 30.6, 34.02, 3.978, 4.072
1967, 4, 5.308, 2.876, 47.99, 58.38, 3.346, 3.451
1967, 5, 13.04, 10.45, 19.63, 26.78, 2.869, 2.866
1967, 6, 15.69, 13.25, 74.76, 73.27, 2.21, 2.241
1967, 7, 22.47, 20.2, 14.84, 25.73, 2, 1.99
1967, 8, 22.84, 20.52, 2.085, 1.758, 2.071, 2.054
1967, 9, 18.36, 16.12, 7.588, 9.396, 2.594, 2.575
1967, 10, 11.18, 9.279, 30.29, 30.54, 3.467, 3.483
1967, 11, 5.219, 3.125, 25.48, 22.89, 3.166, 3.218
1967, 12, -2.246, -4.465, 9.947, 5.692, 4.42, 4.529
1968, 1, -1.318, -2.92, 21.35, 14.73, 3.621, 3.698
1968, 2, 4.345, 1.759, 29.5, 33.9, 3.116, 3.133
1968, 3, 6.75, 4.223, 13.74, 17.24, 3.589, 3.638
1968, 4, 7.256, 4.542, 8.344, 9.393, 4.38, 4.436
1968, 5, 12.29, 10.06, 35.82, 39.47, 3.269, 3.3
1968, 6, 17.03, 14.86, 49.62, 63.03, 2.993, 3.016
1968, 7, 22.05, 19.72, 6.032, 3.091, 2.336, 2.34
1968, 8, 17.93, 15.48, 73.25, 101.3, 2.541, 2.603
1968, 9, 15.3, 12.77, 8.649, 11.25, 2.924, 2.963
1968, 10, 10.05, 7.913, 10.1, 10.67, 3.122, 3.176
1968, 11, 3.621, 1.529, 30.3, 32.14, 3.222, 3.296
1968, 12, -0.6904, -2.53, 43.47, 42.43, 4.263, 4.344
1969, 1, -0.00514, -1.732, 64.7, 39.84, 4.43, 4.435
1969, 2, -0.3575, -2.371, 38.79, 27.69, 3.581, 3.626
1969, 3, 1.285, -1.363, 3.466, 3.545, 2.891, 2.946
1969, 4, 9.362, 7.025, 7.284, 7.954, 3.494, 3.537
1969, 5, 15.03, 12.45, 5.1, 6.88, 2.647, 2.709
1969, 6, 16.56, 14.21, 47.45, 54.52, 2.523, 2.561
1969, 7, 21.07, 19.01, 13.89, 21.45, 2.303, 2.266
1969, 8, 21.72, 19.24, 0.1483, 0, 2.447, 2.414
1969, 9, 17.31, 15.09, 2.922, 0, 2.347, 2.358
1969, 10, 7.942, 5.838, 11.18, 17.65, 2.908, 2.926
1969, 11, 4.564, 2.327, 7.953, 9.151, 2.433, 2.434
1969, 12, 1.212, -0.8644, 35.72, 35.02, 3.047, 3.093
1970, 1, 0.2925, -1.413, 80, 81.63, 3.59, 3.582
1970, 2, 4.715, 2.985, 7.641, 6.465, 2.885, 2.903
1970, 3, 3.731, 1.28, 25.03, 26.27, 3.067, 3.105
1970, 4, 5.243, 2.717, 23.19, 27.44, 3.475, 3.545
1970, 5, 12.65, 10.22, 28.36, 33.13, 2.53, 2.598
1970, 6, 18.01, 15.14, 58.78, 67.95, 2.536, 2.591
1970, 7, 21.26, 18.92, 29.76, 40.35, 2.154, 2.187
1970, 8, 22.32, 19.7, 6.141, 7.782, 2.302, 2.297
1970, 9, 13.18, 10.94, 19.9, 24.9, 2.691, 2.701
1970, 10, 8.259, 6.157, 21.19, 20.7, 2.669, 2.678
1970, 11, 4.6, 2.576, 56.95, 54.66, 3.297, 3.312
1970, 12, -0.9315, -2.441, 50.88, 37.97, 3.508, 3.493
1971, 1, -0.2877, -1.962, 51.69, 48.32, 3.83, 3.831
1971, 2, 1.575, -0.04716, 14.55, 10.92, 3.459, 3.508
1971, 3, 2.575, 0.6613, 34.32, 33.75, 3.479, 3.513
1971, 4, 7.364, 5.04, 27.99, 41.14, 3.113, 3.146
1971, 5, 13.44, 10.93, 34.95, 49.13, 3.073, 3.085
1971, 6, 16.42, 13.89, 45.7, 54.5, 2.38, 2.362
1971, 7, 21.17, 18.6, 5.206, 4.126, 2.246, 2.213
1971, 8, 23.13, 20.5, 3.811, 5.91, 2.104, 2.078
1971, 9, 13.3, 10.86, 22.99, 29.13, 2.909, 2.939
1971, 10, 8.703, 6.476, 17.85, 19.67, 2.815, 2.845
1971, 11, 2.985, 1.23, 31.12, 34.55, 2.994, 3.009
1971, 12, -2.153, -3.967, 40.85, 29.9, 3.846, 3.855
1972, 1, -2.036, -3.469, 42.59, 45.37, 4.352, 4.327
1972, 2, 1.412, -0.6154, 18.27, 23.34, 3.363, 3.351
1972, 3, 7.136, 4.632, 17.05, 24.44, 3.044, 3.088
1972, 4, 7.503, 4.861, 10.92, 10.69, 3.875, 3.915
1972, 5, 13.4, 10.77, 19.9, 19.53, 2.753, 2.766
1972, 6, 18.06, 15.48, 27.72, 37.81, 2.446, 2.465
1972, 7, 20.65, 18.36, 2.032, 1.928, 2.574, 2.576
1972, 8, 21.55, 18.9, 12.27, 15.82, 2.349, 2.388
1972, 9, 13.77, 11.42, 25.74, 33.62, 2.4, 2.43
1972, 10, 10.32, 8.072, 32.31, 43.83, 2.477, 2.545
1972, 11, 2.986, 1.14, 27.18, 25.96, 2.898, 2.958
1972, 12, -2.561, -5.033, 31.09, 32.67, 3.518, 3.555
1973, 1, -1.829, -3.737, 26.92, 23.19, 3.076, 3.112
1973, 2, 1.84, -0.5646, 17.37, 14.23, 2.72, 2.743
1973, 3, 3.742, 1.191, 25.23, 34.16, 3.089, 3.122
1973, 4, 7.17, 4.542, 17.57, 19.28, 3.412, 3.454
1973, 5, 13.96, 11.49, 14.92, 23.12, 2.478, 2.532
1973, 6, 17.31, 14.84, 20.63, 26.69, 2.773, 2.803
1973, 7, 21.56, 18.99, 20.93, 26.83, 2.268, 2.275
1973, 8, 20.45, 17.88, 3.133, 5.078, 2.398, 2.43
1973, 9, 15.57, 13.43, 12.1, 15.67, 3.035, 3.075
1973, 10, 10.89, 8.87, 0.8959, 0, 3.295, 3.335
1973, 11, 3.53, 1.529, 63.97, 51.21, 3.985, 4.047
1973, 12, 1.293, -0.6154, 42.24, 43.08, 3.857, 3.923
1974, 1, -3.085, -4.675, 30.69, 24.15, 3.88, 3.947
1974, 2, 0.6078, -1.005, 16.75, 17.06, 3.786, 3.871
1974, 3, 4.287, 2.168, 52.06, 55.85, 4.046, 4.125
1974, 4, 7.957, 5.34, 17.45, 25.27, 4.285, 4.341
1974, 5, 12.34, 9.898, 2.83, 3.355, 2.764, 2.853
1974, 6, 19.59, 16.92, 3.847, 5.915, 3.005, 3.083
1974, 7, 21.7, 19.15, 6.661, 9.41, 2.422, 2.441
1974, 8, 19.72, 17.08, 5.521, 7.123, 2.486, 2.468
1974, 9, 16.54, 13.89, 0, 0, 2.542, 2.566
1974, 10, 10.98, 8.87, 31.33, 34.22, 2.318, 2.334
1974, 11, 5.208, 3.036, 10.86, 10.34, 2.745, 2.767
1974, 12, 0.5796, -1.592, 32.8, 33.86, 3.547, 3.616
1975, 1, -2.428, -3.539, 16.9, 17.5, 3.674, 3.734
1975, 2, -0.4542, -2.869, 43.54, 32.72, 3.895, 3.971
1975, 3, 2.92, 0.891, 39.12, 37.57, 3.781, 3.864
1975, 4, 4.106, 1.759, 34.24, 44.73, 3.624, 3.667
1975, 5, 11, 8.372, 39.29, 54.65, 3.494, 3.531
1975, 6, 15.45, 12.93, 20.72, 20.05, 3.183, 3.21
1975, 7, 23.23, 20.91, 15.35, 23.74, 2.413, 2.441
1975, 8, 18.38, 16.05, 8.17, 10.39, 2.467, 2.476
1975, 9, 16.11, 13.57, 0.1599, 0, 2.173, 2.187
1975, 10, 10.27, 8.321, 58.21, 71.75, 3.16, 3.207
1975, 11, 3.482, 1.37, 25.08, 22.18, 3.081, 3.11
1975, 12, 2.192, -0.156, 13.54, 11.12, 2.965, 2.974
1976, 1, -0.745, -2.939, 19.31, 22.11, 2.967, 2.999
1976, 2, 0.2263, -2.39, 35.23, 33.53, 3.509, 3.562
1976, 3, 1.342, -0.8644, 7.75, 7.626, 3.311, 3.372
1976, 4, 7.08, 4.632, 21.8, 27.62, 3.262, 3.281
1976, 5, 14.3, 12.06, 11.91, 14.67, 2.612, 2.63
1976, 6, 15.64, 13.09, 13.18, 13.84, 3.067, 3.124
1976, 7, 21.89, 19.65, 3.588, 4.013, 2.229, 2.233
1976, 8, 17.99, 15.73, 40.59, 56.99, 2.49, 2.53
1976, 9, 16.56, 14.46, 28.53, 23.95, 2.464, 2.476
1976, 10, 10.44, 8.232, 13.29, 19.4, 2.338, 2.34
1976, 11, 5.511, 3.534, 0.8421, 0.9878, 2.052, 2.057
1976, 12, 0.9109, -0.6855, 0.1248, 0.098, 2.239, 2.24
1977, 1, -3.358, -5.154, 4.599, 4.522, 2.439, 2.471
1977, 2, 3.131, 1.051, 8.546, 8.327, 2.448, 2.478
1977, 3, 3.312, 0.7121, 7.81, 6.893, 3.904, 3.957
1977, 4, 11.21, 8.691, 1.439, 2.051, 3.284, 3.335
1977, 5, 10.06, 7.823, 59.5, 62.85, 2.978, 3.034
1977, 6, 19.84, 17.49, 18.54, 17.79, 2.349, 2.345
1977, 7, 20.57, 18.62, 31.2, 48.44, 2.539, 2.534
1977, 8, 20.2, 17.97, 19.63, 28.25, 2.087, 2.086
1977, 9, 15.03, 12.86, 17.89, 23.71, 2.654, 2.666
1977, 10, 11.23, 9.03, 2.972, 2.792, 2.521, 2.517
1977, 11, 4.001, 1.778, 32.1, 31.62, 3.612, 3.643
1977, 12, 1.943, 0.4316, 57.2, 56.05, 4.133, 4.114
