# Created by WEAP: 1/4/2021 11:54:17 AM

# Climate time series data extracted from NetCDF file: C:\Users\yates\Downloads\monthly_CanESM2.nc
# Raster grid: 368 rows x 368 columns, (53 N, 125 W) - (30 N, 102 W), 0.062 degree resolution (approximately 7 km)
# Timespan: Monthly, January 1950 - December 2099 (1,800 data points)
# Variables extracted:
#      tavg: tasmax[C]
#      Prcp: pr[mm]

# WEAP Catchment: CA_LADWP_CoastalLA (36,256 ha)
# Climate grid intersected and averaged over each elevation band of catchment: 0 - 1000 m (36,256 ha)

"$ListSeparator = ,"
"$DecimalSymbol = ."

$Columns = Year, Month, tavg[C]:Elevation 0 to 1000 m, Prcp[mm]:Elevation 0 to 1000 m
1969, 8, 21.05, 0.01632
1969, 9, 22.56, 22.93
1969, 10, 20.46, 8.702
1969, 11, 17.55, 111.6
1969, 12, 14.71, 269.4
1970, 1, 14.39, 9.562
1970, 2, 14.9, 122.5
1970, 3, 14.68, 89.1
1970, 4, 15.82, 14.43
1970, 5, 18.08, 0.09431
1970, 6, 19.59, 0.0462
1970, 7, 20.63, 0
1970, 8, 21.25, 0.5708
1970, 9, 20.64, 0
1970, 10, 18.18, 3.077
1970, 11, 15.88, 55.43
1970, 12, 14.46, 15.01
1971, 1, 13.41, 5.918
1971, 2, 18.01, 9.608
1971, 3, 14.14, 60
1971, 4, 16.71, 0.8422
1971, 5, 17.72, 1.291
1971, 6, 19.63, 0.4477
1971, 7, 21.05, 0
1971, 8, 23, 0.4628
1971, 9, 20.28, 0
1971, 10, 21.01, 0
1971, 11, 17.97, 0.2477
1971, 12, 14.54, 15.89
1972, 1, 15.6, 72.19
1972, 2, 14.75, 104.4
1972, 3, 14.31, 178.7
1972, 4, 17.67, 11.91
1972, 5, 17.19, 0.06788
1972, 6, 19.7, 0.1087
1972, 7, 21.12, 0.0126
1972, 8, 23.46, 0.00763
1972, 9, 22.41, 3.183
1972, 10, 19.26, 0.102
1972, 11, 17.11, 13.67
1972, 12, 14.18, 6.357
1973, 1, 16.25, 6.305
1973, 2, 15.42, 65.98
1973, 3, 15.15, 193.8
1973, 4, 16.56, 47.34
1973, 5, 16.48, 16.3
1973, 6, 18.51, 0.1021
1973, 7, 21.14, 0.04141
1973, 8, 23.49, 1.192
1973, 9, 21.02, 4.732
1973, 10, 22.89, 20.16
1973, 11, 19.37, 13.15
1973, 12, 14.72, 18.98
1974, 1, 17.21, 283.4
1974, 2, 14.02, 323.6
1974, 3, 14.6, 128.6
1974, 4, 15.6, 43.29
1974, 5, 17.61, 5.232
1974, 6, 19.69, 0.02403
1974, 7, 21.6, 0.03161
1974, 8, 22.98, 0.1121
1974, 9, 21.43, 0.1264
1974, 10, 19.48, 5.758
1974, 11, 20.42, 0.5253
1974, 12, 17.19, 6.427
1975, 1, 14.44, 57.11
1975, 2, 17.85, 8.598
1975, 3, 14.98, 61.19
1975, 4, 17.8, 3.506
1975, 5, 16.57, 0.1014
1975, 6, 19.9, 0.08528
1975, 7, 21.26, 0.004429
1975, 8, 21.26, 8.996
1975, 9, 24.09, 7.521
1975, 10, 20.48, 0.8988
1975, 11, 20.46, 6.333
1975, 12, 17.28, 51.01
1976, 1, 15.48, 27.67
1976, 2, 12.37, 271.7
1976, 3, 16.73, 9.172
1976, 4, 17.46, 8.204
1976, 5, 18.32, 2.925
1976, 6, 18.85, 0
1976, 7, 22.43, 0.03525
1976, 8, 23.5, 0.4229
1976, 9, 22.02, 0.0295
1976, 10, 18.12, 0.0323
1976, 11, 17.52, 9.987
1976, 12, 15.51, 67.5
1977, 1, 13.21, 126.2
1977, 2, 19.37, 9.219
1977, 3, 17.36, 40.11
1977, 4, 13.48, 272.4
1977, 5, 17.86, 2.35
1977, 6, 18.23, 9.419
1977, 7, 22.67, 0.09331
1977, 8, 23.26, 0.3158
1977, 9, 21.75, 0.01142
1977, 10, 19.21, 12.91
1977, 11, 16.48, 32.34
1977, 12, 14.56, 2.154E-5
1978, 1, 13.98, 143.8
1978, 2, 16.44, 26.14
1978, 3, 17.14, 56.44
1978, 4, 15.28, 4.391
1978, 5, 17.47, 0.629
1978, 6, 19.23, 0.1227
1978, 7, 20.87, 0
1978, 8, 22.63, 0.04472
1978, 9, 24.06, 7.992
1978, 10, 19.46, 0.3678
1978, 11, 20.78, 0.2335
1978, 12, 16.42, 6.965
1979, 1, 18.43, 17.44
1979, 2, 16.93, 42.79
1979, 3, 15.41, 69.9
1979, 4, 16.65, 72.44
1979, 5, 19.81, 0.1804
1979, 6, 18.6, 0.1887
1979, 7, 21.85, 0.03627
1979, 8, 21.54, 0.3482
1979, 9, 22.06, 0.2676
1979, 10, 21.82, 0.6785
1979, 11, 17.27, 25.52
1979, 12, 15.01, 39.95
1980, 1, 17.53, 8.805
1980, 2, 18.43, 7.944
1980, 3, 17.46, 27.71
1980, 4, 18.42, 21.14
1980, 5, 19.95, 0.09551
1980, 6, 20.69, 0.01656
1980, 7, 20.94, 0.06228
1980, 8, 22.02, 0.06264
1980, 9, 20.09, 0.3551
1980, 10, 22.29, 0.07835
1980, 11, 18.41, 22.39
1980, 12, 18.66, 54.97
1981, 1, 15.55, 194.3
1981, 2, 14.6, 55.09
1981, 3, 15.64, 39.68
1981, 4, 20.6, 0.4648
1981, 5, 17.98, 1.927
1981, 6, 20.45, 0.002463
1981, 7, 21.14, 0.02627
1981, 8, 22.01, 0.2302
1981, 9, 23.93, 0.5733
1981, 10, 23.2, 3.297
1981, 11, 19.88, 18.77
1981, 12, 15.33, 80.54
1982, 1, 12.62, 313
1982, 2, 14.54, 111.3
1982, 3, 15.3, 116.3
1982, 4, 14.88, 67.64
1982, 5, 18.5, 0.07703
1982, 6, 20.85, 0.01403
1982, 7, 21.08, 0
1982, 8, 22.42, 1.344
1982, 9, 21.93, 11.27
1982, 10, 19.43, 2.711
1982, 11, 17.67, 0.4223
1982, 12, 15.63, 2.849
1983, 1, 14.6, 60.6
1983, 2, 14.73, 140.2
1983, 3, 15.37, 71.24
1983, 4, 17.67, 0.6798
1983, 5, 17.43, 12.61
1983, 6, 20.88, 0.08472
1983, 7, 21.44, 0.02995
1983, 8, 22.71, 0.7494
1983, 9, 21.53, 0.4803
1983, 10, 20.15, 10.46
1983, 11, 16.68, 45.86
1983, 12, 14.73, 24.14
1984, 1, 14.94, 9.601
1984, 2, 15.89, 221.7
1984, 3, 16.88, 9.037
1984, 4, 16.4, 41.81
1984, 5, 16.69, 5.482
1984, 6, 18.93, 0.07541
1984, 7, 22.83, 0.05473
1984, 8, 23.06, 0
1984, 9, 20.11, 0.4618
1984, 10, 18.03, 11.72
1984, 11, 16.74, 40.2
1984, 12, 13.77, 61.21
1985, 1, 14.22, 342.1
1985, 2, 14.66, 198.4
1985, 3, 13.71, 365.7
1985, 4, 18.24, 5.553
1985, 5, 17.33, 0.7266
1985, 6, 19.51, 0.03544
1985, 7, 21.78, 1.278
1985, 8, 22.57, 0.01754
1985, 9, 22.94, 1.481
1985, 10, 17.46, 27.14
1985, 11, 16.9, 21.2
1985, 12, 12.69, 101.9
1986, 1, 10.94, 32.72
1986, 2, 13.99, 122.8
1986, 3, 15.12, 1.468
1986, 4, 18.64, 0.0004001
1986, 5, 18.68, 0.04818
1986, 6, 19.57, 0.08393
1986, 7, 21.38, 0
1986, 8, 22.06, 1.241
1986, 9, 21, 0.00162
1986, 10, 19.43, 3.179
1986, 11, 18.32, 9.894
1986, 12, 17.18, 34.02
1987, 1, 13.09, 78.23
1987, 2, 14.43, 84.11
1987, 3, 14.58, 89.91
1987, 4, 15.05, 6.321
1987, 5, 18.49, 0.06955
1987, 6, 22.75, 0.1821
1987, 7, 21.68, 0.002151
1987, 8, 22.72, 0.2822
1987, 9, 21.81, 0.1182
1987, 10, 19.64, 6.11
1987, 11, 15.09, 58.05
1987, 12, 15.07, 159.3
1988, 1, 16.57, 11.09
1988, 2, 13.68, 83.38
1988, 3, 14.91, 39.82
1988, 4, 17.61, 3.956
1988, 5, 19.63, 0.4239
1988, 6, 19.33, 0.02314
1988, 7, 22.41, 0.01125
1988, 8, 21.35, 0.1502
1988, 9, 22.32, 0
1988, 10, 20.16, 0.2958
1988, 11, 17.36, 50.25
1988, 12, 11.81, 92.84
1989, 1, 13.13, 232.8
1989, 2, 14.47, 55.87
1989, 3, 14.67, 77.96
1989, 4, 18.4, 28.97
1989, 5, 19.62, 0.01889
1989, 6, 19.53, 0.4218
1989, 7, 21.29, 0
1989, 8, 23.28, 0
1989, 9, 21.37, 2.342
1989, 10, 18.45, 61.73
1989, 11, 17.69, 3.553
1989, 12, 14.98, 14
1990, 1, 14.84, 94.19
1990, 2, 14.33, 205.5
1990, 3, 13.85, 86.32
1990, 4, 15.4, 47.13
1990, 5, 17.29, 7.13
1990, 6, 19.25, 0.01489
1990, 7, 23.04, 0.01121
1990, 8, 21.91, 0.3468
1990, 9, 22.37, 0
1990, 10, 21.48, 0
1990, 11, 18.1, 6.645
1990, 12, 16.46, 49.71
1991, 1, 17.58, 164.6
1991, 2, 16.26, 17.59
1991, 3, 15.64, 22.28
1991, 4, 15.89, 1.277
1991, 5, 17.91, 3.301
1991, 6, 19.77, 0
1991, 7, 23.46, 0.3236
1991, 8, 23.25, 1.052
1991, 9, 24.11, 1.497
1991, 10, 22.72, 1.095
1991, 11, 17.87, 252.6
1991, 12, 11.45, 70.91
1992, 1, 12.77, 191
1992, 2, 14.67, 90.45
1992, 3, 16.28, 10.46
1992, 4, 16.97, 1.6
1992, 5, 17.23, 36.34
1992, 6, 19.28, 0.1128
1992, 7, 21.81, 0.05404
1992, 8, 21.55, 0.3868
1992, 9, 23.1, 0.3966
1992, 10, 18.81, 11.42
1992, 11, 18.1, 25.23
1992, 12, 14.84, 56.84
1993, 1, 14.16, 7.021
1993, 2, 18.69, 8.37
1993, 3, 17.45, 36.42
1993, 4, 17.61, 2.279
1993, 5, 18.39, 0.004636
1993, 6, 19.12, 0.1174
1993, 7, 21.86, 0
1993, 8, 25.8, 1.639
1993, 9, 24.08, 37.24
1993, 10, 22.75, 0
1993, 11, 16.77, 65.18
1993, 12, 14.74, 136.5
1994, 1, 13.48, 58.39
1994, 2, 14.16, 53.93
1994, 3, 13.87, 267.8
1994, 4, 15.18, 11.82
1994, 5, 17.17, 0.1012
1994, 6, 19.54, 0.06771
1994, 7, 23.09, 0.1391
1994, 8, 22.08, 0.3033
1994, 9, 22.45, 6.317
1994, 10, 19.69, 0.02605
1994, 11, 17.12, 45.94
1994, 12, 14.19, 53.02
1995, 1, 16.16, 10.83
1995, 2, 12.81, 268.2
1995, 3, 15.95, 6.633
1995, 4, 19.4, 0.3557
1995, 5, 18.11, 0.01354
1995, 6, 20.22, 0.0761
1995, 7, 23.58, 0.001833
1995, 8, 23.05, 0.5546
1995, 9, 24.89, 0.2411
1995, 10, 19.91, 4.81
1995, 11, 15.47, 47.88
1995, 12, 15.52, 42.53
1996, 1, 15.48, 27.77
1996, 2, 15.39, 123.7
1996, 3, 17.75, 0.1374
1996, 4, 18.01, 3.977
1996, 5, 17.26, 106.7
1996, 6, 20.04, 0.01631
1996, 7, 22.79, 0.02269
1996, 8, 24.68, 0.02381
1996, 9, 22.46, 0.475
1996, 10, 18.82, 0.05068
